,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,PCR_batch,cell_cycle_conservation,isolated_label_F1,isolated_label_silhouette,graph_conn,kBET,iLISI,cLISI,hvg_overlap,trajectory
/pancreas/metrics/unscaled/hvg/mnn_full,0.9138665032024672,0.951112722518898,0.6172424778342247,0.9057019050549192,0.8558784373079258,0.4704984718639893,0.10769230769230767,0.520902156829834,0.8526778424741461,0.0047489413569205,0.07924053136124981,1.0,0.4772209890553082,
/pancreas/metrics/unscaled/full_feature/mnn_full,0.6326154125985579,0.26219251968019136,0.5644480884075165,0.8448200803913497,0.7125446098053704,0.7413635816082631,0.1068702290076336,0.550404392182827,0.7863017828669125,0.003141463492350116,0.00406486786709806,0.9993835933509928,0.20258935184067373,
/lung_atlas/metrics/unscaled/hvg/mnn_full,0.7220755216973088,0.4805117720552704,0.5771538391709328,0.9068705270431492,0.6749706205929688,0.7912306467712542,0.7757805108798486,0.52308464422822,0.6487635428201167,0.0039665369596960645,0.053908957689040776,0.9974660171686848,0.3097069389783583,
/lung_atlas/metrics/unscaled/full_feature/mnn_full,0.7223177414376242,0.4469073086747645,0.5272660311311483,0.8922108827014151,0.4695158764606314,0.9372182286989996,0.6932038834951456,0.5824590548872948,0.5827183318759936,0.0021352880402318863,0.01933887035846993,0.998203997855553,0.1493896115524221,
/immune_cell_hum/metrics/unscaled/hvg/mnn_full,0.7729475223289168,0.5612144242039415,0.5867807045578957,0.8973450448470175,0.9012974232867336,0.7721809536298434,0.81797817551567,0.5672973962500691,0.9909306514923516,0.1052013978167875,0.15155918795063986,0.9960774786262312,0.3824968072691568,0.8570064722348292
/immune_cell_hum/metrics/unscaled/full_feature/mnn_full,0.6703311762356062,0.3597366914006729,0.5697103142738342,0.8661804636723341,0.858655826112549,0.9156799355292988,0.8469002693662638,0.5873519279994069,0.9223282098574872,0.04303235937390759,0.034510992313084486,0.9970176817655358,0.2384816749965795,0.869859557995188
/immune_cell_hum_mou/metrics/unscaled/hvg/mnn_full,0.6738196546019899,0.5278228245464427,0.5268684830516577,0.9231676624257268,0.6233396372350236,0.7820744435032215,0.2436693741041568,0.4859118368476629,0.8349789692039479,0.013757789937757892,0.05369193584476905,0.992261559000198,0.3423267868832165,0.8633652082060327
/immune_cell_hum_mou/metrics/unscaled/full_feature/mnn_full,0.6300263057966011,0.34878367729917154,0.5126828737556934,0.8930497868576703,0.4726578757305434,0.9335652686590544,0.17190775681341722,0.4519748762249946,0.7937997813819359,0.001029046546279,0.0279358567988246,0.994860174240044,0.19698646253568766,0.8122659115500069
/simulations_1_1/metrics/unscaled/hvg/mnn_full,1.0,1.0,0.6477288752794266,0.911072768483858,0.9227677443394448,,1.0,0.4989903438836336,1.0,0.8771816106475384,0.469001732487157,1.0,0.5541095524382097,
/simulations_1_1/metrics/unscaled/full_feature/mnn_full,0.744141718314664,0.3945644683166689,0.6338779032230377,0.8367529540863374,0.6341758949302629,,1.0,0.5565431863069534,1.0,0.00033147612333872534,1.7763568394002506e-16,1.0,0.4377969137740005,
/simulations_2/metrics/unscaled/hvg/mnn_full,0.9084304395363898,0.8767820632479607,0.5542189069092274,0.8921882454093691,0.7232430000784651,,0.9990635729892828,0.499927761266008,1.0,0.04801062431452818,0.017355375803260062,1.0,0.4634347419739077,
/simulations_2/metrics/unscaled/full_feature/mnn_full,0.5909694116129962,0.24066218237526985,0.5583186037838459,0.6537775400934279,0.4124889160509456,,0.4545892943256711,0.520942036062479,0.8533311381930724,4.725820401674241e-09,0.0,1.0,0.4008921537854826,
/pancreas/metrics/scaled/hvg/mnn_full,0.9178525431052031,0.9490797054268282,0.5957083255052567,0.8916553638238458,0.9318813565449656,0.5670157489694468,0.0945945945945946,0.4207455590367317,0.9854144887421784,0.00512977165324935,0.16274482229332934,0.9995600770876436,0.29274603647276703,
