CellID,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,-2.0376554,7.563607
D28.7_64,acinar,celseq2,9.476938,-3.3013284
D31.2_86,acinar,celseq2,10.571172,-1.3530017
human3_lib2.final_cell_0055,acinar,inDrop,-2.9292476,8.109439
human3_lib4.final_cell_0748,acinar,inDrop,-3.7999887,7.2690196
human3_lib1.final_cell_0004,acinar,inDrop,-2.8556597,6.708599
human3_lib2.final_cell_0497,acinar,inDrop,-1.7928205,6.732764
human1_lib1.final_cell_0028,acinar,inDrop,-2.5059927,6.152568
D31.7_21,acinar,celseq2,9.011073,-0.40495247
human3_lib4.final_cell_0518,acinar,inDrop,-3.261448,6.785316
human3_lib1.final_cell_0005,acinar,inDrop,-2.858093,6.74638
D28.5_31,acinar,celseq2,10.241106,-1.3331527
human3_lib1.final_cell_0109,acinar,inDrop,-2.5843096,7.753359
human3_lib3.final_cell_0385,acinar,inDrop,-3.435294,7.661118
human3_lib3.final_cell_0028,acinar,inDrop,-2.308038,7.8273
HP1502401_F13,acinar,smartseq2,8.738538,-1.3829992
human3_lib1.final_cell_0371,acinar,inDrop,-3.7959232,6.8876348
HP1506401_D24,acinar,smartseq2,10.185218,-2.6225612
human3_lib4.final_cell_0148,acinar,inDrop,-2.8866446,6.4415374
HP1502401_M22,acinar,smartseq2,9.161984,-2.6565847
human3_lib4.final_cell_0072,acinar,inDrop,-2.2303026,7.601202
human3_lib1.final_cell_0146,acinar,inDrop,-3.293377,7.3087964
human3_lib1.final_cell_0642,acinar,inDrop,-3.766931,7.432606
human3_lib4.final_cell_0537,acinar,inDrop,-2.9165757,7.2622194
human3_lib1.final_cell_0026,acinar,inDrop,-2.3436449,7.661987
human1_lib1.final_cell_0047,acinar,inDrop,-3.417662,6.11727
human3_lib2.final_cell_0012,acinar,inDrop,-2.2101514,7.1495037
human3_lib4.final_cell_0034,acinar,inDrop,-2.9433095,7.5958924
D28.6_19,acinar,celseq2,8.914076,-1.4260045
human3_lib1.final_cell_0027,acinar,inDrop,-2.4053817,7.016272
human3_lib3.final_cell_0235,acinar,inDrop,-1.7408202,7.737742
human3_lib4.final_cell_0358,acinar,inDrop,-3.3792396,7.8537426
human3_lib4.final_cell_0292,acinar,inDrop,-3.1642191,8.102522
