,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,8.138166,-9.537074
human3_lib2.final_cell_0055,acinar,inDrop,7.451621,-10.519954
human3_lib4.final_cell_0748,acinar,inDrop,7.706387,-9.962838
human3_lib1.final_cell_0004,acinar,inDrop,7.0528507,-8.323881
human3_lib2.final_cell_0497,acinar,inDrop,7.77853,-7.777426
human1_lib1.final_cell_0028,acinar,inDrop,6.4135447,-8.020024
human3_lib4.final_cell_0518,acinar,inDrop,7.5711,-8.206818
human3_lib1.final_cell_0005,acinar,inDrop,6.8878927,-8.272562
human3_lib1.final_cell_0109,acinar,inDrop,7.7515664,-10.084704
human3_lib3.final_cell_0385,acinar,inDrop,7.1436257,-9.508576
human3_lib3.final_cell_0028,acinar,inDrop,7.123736,-9.310192
human3_lib1.final_cell_0371,acinar,inDrop,7.1462398,-9.890164
human3_lib4.final_cell_0148,acinar,inDrop,7.061581,-9.406792
human3_lib4.final_cell_0072,acinar,inDrop,7.906317,-9.181199
human3_lib1.final_cell_0146,acinar,inDrop,7.415246,-9.299835
human3_lib1.final_cell_0642,acinar,inDrop,7.6059027,-10.159492
human3_lib4.final_cell_0537,acinar,inDrop,7.842304,-10.294063
human3_lib1.final_cell_0026,acinar,inDrop,7.1036477,-10.394087
human1_lib1.final_cell_0047,acinar,inDrop,6.0488005,-9.709779
human3_lib2.final_cell_0012,acinar,inDrop,7.5641894,-8.128842
human3_lib4.final_cell_0034,acinar,inDrop,7.1672525,-9.82043
human3_lib1.final_cell_0027,acinar,inDrop,7.3179407,-8.213982
human3_lib3.final_cell_0235,acinar,inDrop,8.332705,-9.344712
human3_lib4.final_cell_0358,acinar,inDrop,7.5313497,-10.427429
human3_lib4.final_cell_0292,acinar,inDrop,7.3178287,-10.470831
human3_lib1.final_cell_0044,acinar,inDrop,7.46332,-7.9265695
human1_lib3.final_cell_0031,acinar,inDrop,5.975693,-9.187371
human3_lib1.final_cell_0117,acinar,inDrop,7.7123017,-7.928411
human3_lib2.final_cell_0083,acinar,inDrop,7.3600373,-8.602737
human3_lib1.final_cell_0112,acinar,inDrop,7.8048334,-9.518852
human3_lib3.final_cell_0022,acinar,inDrop,7.535211,-10.829409
human3_lib1.final_cell_0391,acinar,inDrop,6.8752866,-8.032925
human3_lib1.final_cell_0215,acinar,inDrop,7.5474043,-9.755666
human1_lib1.final_cell_0461,acinar,inDrop,6.260583,-9.026261
human3_lib2.final_cell_0685,acinar,inDrop,6.6091766,-8.255581
human3_lib4.final_cell_0272,acinar,inDrop,7.859647,-8.247636
human3_lib3.final_cell_0163,acinar,inDrop,7.009039,-9.120423
human1_lib1.final_cell_0182,acinar,inDrop,6.077044,-9.534153
human3_lib2.final_cell_0105,acinar,inDrop,7.00009,-7.972008
human3_lib4.final_cell_0466,acinar,inDrop,8.142393,-9.733215
human3_lib3.final_cell_0044,acinar,inDrop,7.1880646,-8.192269
human3_lib1.final_cell_0069,acinar,inDrop,7.362266,-8.639471
human3_lib4.final_cell_0103,acinar,inDrop,7.922443,-9.894544
human3_lib2.final_cell_0036,acinar,inDrop,7.460185,-7.754525
human3_lib1.final_cell_0505,acinar,inDrop,8.1223955,-10.246854
human3_lib2.final_cell_0267,acinar,inDrop,8.181454,-9.304208
human3_lib3.final_cell_0703,acinar,inDrop,7.7149205,-10.744623
human3_lib2.final_cell_0109,acinar,inDrop,6.610898,-9.209346
human3_lib4.final_cell_0171,acinar,inDrop,7.156975,-9.802316
human3_lib2.final_cell_0134,acinar,inDrop,7.603243,-9.479876
human1_lib2.final_cell_0582,acinar,inDrop,7.2867723,-10.399655
human3_lib1.final_cell_0212,acinar,inDrop,7.712762,-10.469068
human3_lib2.final_cell_0675,acinar,inDrop,7.5101576,-8.334811
human3_lib3.final_cell_0205,acinar,inDrop,7.809239,-8.322981
human3_lib4.final_cell_0184,acinar,inDrop,7.5648108,-9.133635
human3_lib3.final_cell_0079,acinar,inDrop,7.1001163,-7.991823
human3_lib2.final_cell_0060,acinar,inDrop,7.510504,-9.153605
human3_lib1.final_cell_0204,acinar,inDrop,7.435303,-8.328525
human3_lib4.final_cell_0070,acinar,inDrop,6.4085755,-8.449306
human3_lib3.final_cell_0415,acinar,inDrop,7.293793,-8.203516
human3_lib3.final_cell_0208,acinar,inDrop,7.658959,-9.442096
human3_lib1.final_cell_0038,acinar,inDrop,7.492063,-8.371536
human3_lib4.final_cell_0533,acinar,inDrop,7.996158,-9.584564
human1_lib3.final_cell_0231,acinar,inDrop,6.341207,-10.139394
human3_lib3.final_cell_0066,acinar,inDrop,7.3162293,-9.646464
human3_lib4.final_cell_0108,acinar,inDrop,7.783377,-8.382889
human3_lib3.final_cell_0301,acinar,inDrop,6.992485,-8.419192
human3_lib4.final_cell_0149,acinar,inDrop,7.575101,-10.783231
human3_lib4.final_cell_0003,acinar,inDrop,7.9756026,-9.647153
human3_lib3.final_cell_0266,acinar,inDrop,7.4967833,-7.6827893
human3_lib1.final_cell_0373,acinar,inDrop,8.143154,-10.441567
human3_lib1.final_cell_0172,acinar,inDrop,6.4010577,-8.282008
human3_lib2.final_cell_0003,acinar,inDrop,6.716283,-9.297935
human3_lib3.final_cell_0166,acinar,inDrop,7.235664,-9.801608
human3_lib2.final_cell_0101,acinar,inDrop,7.9665504,-7.738769
human3_lib2.final_cell_0277,acinar,inDrop,6.6517935,-8.262016
human3_lib3.final_cell_0045,acinar,inDrop,7.3082404,-10.140143
human3_lib1.final_cell_0483,acinar,inDrop,7.4253325,-8.546472
human3_lib4.final_cell_0575,acinar,inDrop,7.809068,-10.751323
human3_lib4.final_cell_0519,acinar,inDrop,7.932135,-9.539659
human3_lib4.final_cell_0512,acinar,inDrop,6.9345984,-9.454766
human3_lib4.final_cell_0615,acinar,inDrop,8.039945,-10.371299
human3_lib4.final_cell_0555,acinar,inDrop,8.122027,-9.411234
human3_lib3.final_cell_0803,acinar,inDrop,7.7838836,-9.021207
human3_lib1.final_cell_0013,acinar,inDrop,8.170515,-8.554496
human3_lib2.final_cell_0006,acinar,inDrop,7.5771914,-9.232621
human3_lib1.final_cell_0300,acinar,inDrop,7.839616,-10.609736
human3_lib4.final_cell_0155,acinar,inDrop,7.1319914,-9.956005
