index,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,-1.0187573,-14.694187
D28.7_64,acinar,celseq2,11.776906,4.665602
D31.2_86,acinar,celseq2,13.194274,5.1923876
human3_lib2.final_cell_0055,acinar,inDrop,-2.348602,-15.238922
human3_lib4.final_cell_0748,acinar,inDrop,-0.98919135,-14.582085
human3_lib1.final_cell_0004,acinar,inDrop,-0.14706722,-13.658112
human3_lib2.final_cell_0497,acinar,inDrop,0.30572313,-15.341037
human1_lib1.final_cell_0028,acinar,inDrop,-0.5856997,-12.887836
D31.7_21,acinar,celseq2,13.23642,5.1677265
human3_lib4.final_cell_0518,acinar,inDrop,0.78384835,-15.664198
human3_lib1.final_cell_0005,acinar,inDrop,0.4196748,-13.8731165
D28.5_31,acinar,celseq2,12.387765,4.9847245
human3_lib1.final_cell_0109,acinar,inDrop,-1.6717793,-15.319049
human3_lib3.final_cell_0385,acinar,inDrop,-1.2596191,-14.331064
human3_lib3.final_cell_0028,acinar,inDrop,-1.5832596,-15.38786
HP1502401_F13,acinar,smartseq2,12.029316,3.9869502
human3_lib1.final_cell_0371,acinar,inDrop,-2.076989,-13.86948
HP1506401_D24,acinar,smartseq2,13.069396,4.5136647
human3_lib4.final_cell_0148,acinar,inDrop,-1.1718752,-15.037333
HP1502401_M22,acinar,smartseq2,12.101033,3.1416123
human3_lib4.final_cell_0072,acinar,inDrop,-0.65476537,-14.656776
human3_lib1.final_cell_0146,acinar,inDrop,0.042435274,-15.414362
human3_lib1.final_cell_0642,acinar,inDrop,-1.1058179,-13.829751
human3_lib4.final_cell_0537,acinar,inDrop,-1.7671449,-14.754285
human3_lib1.final_cell_0026,acinar,inDrop,-1.7855765,-15.409567
human1_lib1.final_cell_0047,acinar,inDrop,-1.1685178,-13.014021
human3_lib2.final_cell_0012,acinar,inDrop,0.87903553,-15.167116
human3_lib4.final_cell_0034,acinar,inDrop,-1.6418642,-14.54078
D28.6_19,acinar,celseq2,11.8339615,4.8665314
human3_lib1.final_cell_0027,acinar,inDrop,0.46753874,-14.547624
human3_lib3.final_cell_0235,acinar,inDrop,-1.3590987,-15.434091
human3_lib4.final_cell_0358,acinar,inDrop,-2.3403876,-14.994676
