index,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,3.4194934,-15.964414
D28.7_64,acinar,celseq2,-12.250933,-6.2242637
D31.2_86,acinar,celseq2,-12.1113615,-4.2006173
human3_lib2.final_cell_0055,acinar,inDrop,2.7899902,-16.251577
human3_lib4.final_cell_0748,acinar,inDrop,2.4281883,-15.23664
human3_lib1.final_cell_0004,acinar,inDrop,3.7479436,-14.494377
human3_lib2.final_cell_0497,acinar,inDrop,4.1515994,-14.558198
human1_lib1.final_cell_0028,acinar,inDrop,3.3212574,-13.192669
D31.7_21,acinar,celseq2,-10.161496,-0.7990883
human3_lib4.final_cell_0518,acinar,inDrop,3.573332,-12.900121
human3_lib1.final_cell_0005,acinar,inDrop,3.9203582,-14.213161
D28.5_31,acinar,celseq2,-12.356236,-4.0027795
human3_lib1.final_cell_0109,acinar,inDrop,2.559697,-16.089575
human3_lib3.final_cell_0385,acinar,inDrop,2.8450146,-15.227455
human3_lib3.final_cell_0028,acinar,inDrop,3.4031787,-15.399958
HP1502401_F13,acinar,smartseq2,-12.171346,-3.2385185
human3_lib1.final_cell_0371,acinar,inDrop,2.649647,-15.231047
HP1506401_D24,acinar,smartseq2,-12.307062,-5.521585
human3_lib4.final_cell_0148,acinar,inDrop,2.9438765,-15.090062
HP1502401_M22,acinar,smartseq2,-13.035389,-5.330406
human3_lib4.final_cell_0072,acinar,inDrop,3.55504,-15.676666
human3_lib1.final_cell_0146,acinar,inDrop,3.4530418,-15.132397
human3_lib1.final_cell_0642,acinar,inDrop,2.413849,-15.017538
human3_lib4.final_cell_0537,acinar,inDrop,2.1790268,-15.3511505
human3_lib1.final_cell_0026,acinar,inDrop,2.9928133,-15.757068
human1_lib1.final_cell_0047,acinar,inDrop,2.6336343,-13.692851
human3_lib2.final_cell_0012,acinar,inDrop,4.400123,-14.577793
human3_lib4.final_cell_0034,acinar,inDrop,3.0356767,-15.601037
D28.6_19,acinar,celseq2,-11.978074,-3.106313
human3_lib1.final_cell_0027,acinar,inDrop,4.4799333,-14.452332
human3_lib3.final_cell_0235,acinar,inDrop,3.5749328,-15.915359
human3_lib4.final_cell_0358,acinar,inDrop,2.2433162,-15.944086
human3_lib4.final_cell_0292,acinar,inDrop,2.6679494,-16.06635
human3_lib1.final_cell_0044,acinar,inDrop,4.072491,-14.56304
D30.5_79,acinar,celseq2,-12.030787,-3.3593817
D28.8_39,acinar,celseq2,-13.098703,-5.2773604
human1_lib3.final_cell_0031,acinar,inDrop,2.915677,-13.397976
human3_lib1.final_cell_0117,acinar,inDrop,3.8408237,-14.787511
human3_lib2.final_cell_0083,acinar,inDrop,4.396569,-14.9311075
D30.6_37,acinar,celseq2,-12.077097,-3.2566965
HP1506401_B16,acinar,smartseq2,-12.245546,-4.566844
human3_lib1.final_cell_0112,acinar,inDrop,3.3362305,-15.6564665
human3_lib3.final_cell_0022,acinar,inDrop,2.1465573,-16.109398
