,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,4.6201844,-11.96464
D28.7_64,acinar,celseq2,12.314218,-6.487265
D31.2_86,acinar,celseq2,10.443772,-6.594748
human3_lib2.final_cell_0055,acinar,inDrop,3.477301,-12.6819105
human3_lib4.final_cell_0748,acinar,inDrop,4.407785,-13.868934
human3_lib1.final_cell_0004,acinar,inDrop,5.8680487,-11.984307
human3_lib2.final_cell_0497,acinar,inDrop,5.792612,-12.94529
human1_lib1.final_cell_0028,acinar,inDrop,5.802567,-10.927895
D31.7_21,acinar,celseq2,10.497757,-7.0578947
human3_lib4.final_cell_0518,acinar,inDrop,5.3298707,-12.650158
human3_lib1.final_cell_0005,acinar,inDrop,6.4876614,-12.254631
D28.5_31,acinar,celseq2,10.622839,-6.6664653
human3_lib1.final_cell_0109,acinar,inDrop,3.5179086,-13.026968
human3_lib3.final_cell_0385,acinar,inDrop,4.650513,-12.41817
human3_lib3.final_cell_0028,acinar,inDrop,4.8600864,-12.254348
HP1502401_F13,acinar,smartseq2,12.036018,-7.134555
human3_lib1.final_cell_0371,acinar,inDrop,4.412236,-13.26201
HP1506401_D24,acinar,smartseq2,11.816557,-5.9256067
human3_lib4.final_cell_0148,acinar,inDrop,4.8695683,-12.254647
HP1502401_M22,acinar,smartseq2,12.602569,-7.0943356
human3_lib4.final_cell_0072,acinar,inDrop,5.049006,-12.236115
human3_lib1.final_cell_0146,acinar,inDrop,4.971108,-12.832612
human3_lib1.final_cell_0642,acinar,inDrop,4.9741125,-13.759055
human3_lib4.final_cell_0537,acinar,inDrop,3.9742558,-13.85247
human3_lib1.final_cell_0026,acinar,inDrop,3.791672,-12.038081
human1_lib1.final_cell_0047,acinar,inDrop,5.152163,-11.703508
human3_lib2.final_cell_0012,acinar,inDrop,6.5620975,-12.403368
human3_lib4.final_cell_0034,acinar,inDrop,4.557362,-12.454662
D28.6_19,acinar,celseq2,11.159056,-7.632266
human3_lib1.final_cell_0027,acinar,inDrop,6.2064815,-12.841356
human3_lib3.final_cell_0235,acinar,inDrop,4.17011,-12.227185
human3_lib4.final_cell_0358,acinar,inDrop,3.647339,-13.67055
human3_lib4.final_cell_0292,acinar,inDrop,3.7073417,-12.453313
human3_lib1.final_cell_0044,acinar,inDrop,6.048823,-12.0465765
D30.5_79,acinar,celseq2,11.982066,-7.7371774
D28.8_39,acinar,celseq2,11.771126,-6.58901
human1_lib3.final_cell_0031,acinar,inDrop,5.659222,-11.46786
human3_lib1.final_cell_0117,acinar,inDrop,5.223578,-12.49951
human3_lib2.final_cell_0083,acinar,inDrop,5.914417,-12.204513
D30.6_37,acinar,celseq2,11.690441,-7.828945
HP1506401_B16,acinar,smartseq2,11.122513,-6.1690774
