index,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,-2.701569,-0.11347346
D28.7_64,acinar,celseq2,-8.89806,10.17164
D31.2_86,acinar,celseq2,-7.6936746,11.575202
human3_lib2.final_cell_0055,acinar,inDrop,-1.8105414,0.2876339
human3_lib4.final_cell_0748,acinar,inDrop,-1.3152983,-0.93813974
human3_lib1.final_cell_0004,acinar,inDrop,-3.1528916,-1.9379967
human3_lib2.final_cell_0497,acinar,inDrop,-2.5443137,-3.2117088
human1_lib1.final_cell_0028,acinar,inDrop,-1.1810204,-3.3203323
D31.7_21,acinar,celseq2,-5.50478,12.743005
human3_lib4.final_cell_0518,acinar,inDrop,1.5002918,-5.0259924
human3_lib1.final_cell_0005,acinar,inDrop,-2.649811,-2.3707407
D28.5_31,acinar,celseq2,-7.790593,11.664358
human3_lib1.final_cell_0109,acinar,inDrop,-2.2040772,0.39140815
human3_lib3.final_cell_0385,acinar,inDrop,-2.1024015,-0.89587086
human3_lib3.final_cell_0028,acinar,inDrop,-3.1034458,-0.5421595
HP1502401_F13,acinar,smartseq2,-7.4384937,7.7353716
human3_lib1.final_cell_0371,acinar,inDrop,-2.5997643,-0.45756984
HP1506401_D24,acinar,smartseq2,-7.679917,6.1697702
human3_lib4.final_cell_0148,acinar,inDrop,-2.7329757,-1.1370674
HP1502401_M22,acinar,smartseq2,-7.2755985,6.801788
human3_lib4.final_cell_0072,acinar,inDrop,-2.9112425,-1.1374795
human3_lib1.final_cell_0146,acinar,inDrop,-2.0976317,-1.1624498
human3_lib1.final_cell_0642,acinar,inDrop,-1.3410287,-0.4081991
human3_lib4.final_cell_0537,acinar,inDrop,-1.4772838,0.16469982
human3_lib1.final_cell_0026,acinar,inDrop,-2.7830276,0.10656474
human1_lib1.final_cell_0047,acinar,inDrop,-1.5172495,-1.9810616
human3_lib2.final_cell_0012,acinar,inDrop,-2.872454,-2.8247857
human3_lib4.final_cell_0034,acinar,inDrop,-3.075232,-0.13060807
D28.6_19,acinar,celseq2,-7.176825,12.038346
human3_lib1.final_cell_0027,acinar,inDrop,-2.9105268,-1.673752
human3_lib3.final_cell_0235,acinar,inDrop,-2.8417916,0.0455653
human3_lib4.final_cell_0358,acinar,inDrop,-1.4565355,0.41608202
human3_lib4.final_cell_0292,acinar,inDrop,-1.2523056,-0.6795876
human3_lib1.final_cell_0044,acinar,inDrop,-2.9828224,-2.4396915
D30.5_79,acinar,celseq2,-7.3729568,12.1214905
D28.8_39,acinar,celseq2,-8.85698,11.1846
human1_lib3.final_cell_0031,acinar,inDrop,-1.2531458,-2.9455492
human3_lib1.final_cell_0117,acinar,inDrop,-2.6584327,-2.3041482
human3_lib2.final_cell_0083,acinar,inDrop,-2.8483663,-1.589282
D30.6_37,acinar,celseq2,-7.216827,12.185008
HP1506401_B16,acinar,smartseq2,-7.925856,7.0485897
human3_lib1.final_cell_0112,acinar,inDrop,-2.3813334,-0.4855766
human3_lib3.final_cell_0022,acinar,inDrop,-2.1369653,0.83359545
human3_lib1.final_cell_0391,acinar,inDrop,-1.6934282,-3.0210714
human3_lib1.final_cell_0215,acinar,inDrop,-3.0198958,-0.54961944
human1_lib1.final_cell_0461,acinar,inDrop,-1.079567,-3.0084202
human3_lib2.final_cell_0685,acinar,inDrop,-1.5959251,-3.0174508
human3_lib4.final_cell_0272,acinar,inDrop,-2.61399,-3.063449
HP1506401_D3,acinar,smartseq2,-7.9343095,6.271196
human3_lib3.final_cell_0163,acinar,inDrop,-2.6378636,-1.6078863
human1_lib1.final_cell_0182,acinar,inDrop,-1.3117872,-2.1494958
HP1504101T2D_J16,acinar,smartseq2,-7.334524,6.9276185
human3_lib2.final_cell_0105,acinar,inDrop,-1.8226581,-3.097454
human3_lib4.final_cell_0466,acinar,inDrop,-2.4224832,-0.2469621
D30.4_18,acinar,celseq2,-8.605721,11.607124
human3_lib3.final_cell_0044,acinar,inDrop,-2.091197,-3.197835
D28.5_63,acinar,celseq2,-8.236225,11.706182
HP1504901_F23,acinar,smartseq2,-7.990096,10.501393
human3_lib1.final_cell_0069,acinar,inDrop,-2.6601431,-1.8227085
D31.3_89,acinar,celseq2,-9.062141,10.822933
human3_lib4.final_cell_0103,acinar,inDrop,-2.5792327,0.3470258
human3_lib2.final_cell_0036,acinar,inDrop,-1.8265474,-3.2638192
HP1506401_J15,acinar,smartseq2,-7.6091638,6.14038
human3_lib1.final_cell_0505,acinar,inDrop,-1.4321167,-0.595087
HP1506401_O16,acinar,smartseq2,-8.017838,6.680877
human3_lib2.final_cell_0267,acinar,inDrop,-3.0469234,-0.24757653
human3_lib3.final_cell_0703,acinar,inDrop,-1.5464369,0.44326803
human3_lib2.final_cell_0109,acinar,inDrop,-1.8052381,-1.6083007
D30.2_53,acinar,celseq2,-8.446666,11.771533
human3_lib4.final_cell_0171,acinar,inDrop,-2.6407971,0.09622798
HP1506401_N23,acinar,smartseq2,-7.8804784,6.306662
D28.3_51,acinar,celseq2,-9.018621,10.414906
human3_lib2.final_cell_0134,acinar,inDrop,-2.5095935,0.046357103
human1_lib2.final_cell_0582,acinar,inDrop,-0.9903114,-0.9906861
D28.5_37,acinar,celseq2,-7.555521,11.790978
human3_lib1.final_cell_0212,acinar,inDrop,-1.8933846,0.3026669
D28.3_90,acinar,celseq2,-7.437325,11.758929
human3_lib2.final_cell_0675,acinar,inDrop,-2.0558927,-2.6197274
D31.1_21,acinar,celseq2,-6.922534,11.949546
human3_lib3.final_cell_0205,acinar,inDrop,-2.261968,-1.9643496
human3_lib4.final_cell_0184,acinar,inDrop,-1.7762202,-2.0146601
human3_lib3.final_cell_0079,acinar,inDrop,-2.3416977,-3.1293473
human3_lib2.final_cell_0060,acinar,inDrop,-2.051254,-1.3916839
human3_lib1.final_cell_0204,acinar,inDrop,-2.324295,-2.4852087
HP1506401_N9,acinar,smartseq2,-8.119484,6.656715
HP1526901T2D_H2,acinar,smartseq2,-7.299898,6.631768
human3_lib4.final_cell_0070,acinar,inDrop,-2.1308148,-2.936252
human3_lib3.final_cell_0415,acinar,inDrop,-1.5211515,-2.7978683
HP1525301T2D_F10,acinar,smartseq2,-7.405163,7.010773
D31.5_69,acinar,celseq2,-6.3105755,11.844855
human3_lib3.final_cell_0208,acinar,inDrop,-2.366863,-0.6095097
human3_lib1.final_cell_0038,acinar,inDrop,-3.274123,-1.9406306
human3_lib4.final_cell_0533,acinar,inDrop,-1.7154498,-0.51962924
human1_lib3.final_cell_0231,acinar,inDrop,-1.4954853,-1.1607207
HP1504101T2D_C11,acinar,smartseq2,-7.4802017,6.3669214
human3_lib3.final_cell_0066,acinar,inDrop,-2.6702025,-0.30032092
human3_lib4.final_cell_0108,acinar,inDrop,-2.4172447,-1.9119552
D30.7_1,acinar,celseq2,-8.689524,11.446094
human3_lib3.final_cell_0301,acinar,inDrop,-1.6145427,-2.6968248
human3_lib4.final_cell_0149,acinar,inDrop,-2.0582747,0.9037477
HP1508501T2D_B14,acinar,smartseq2,-7.434837,6.1356726
human3_lib4.final_cell_0003,acinar,inDrop,-2.2182615,-0.4140215
human3_lib3.final_cell_0266,acinar,inDrop,-1.5467572,-3.094743
human3_lib1.final_cell_0373,acinar,inDrop,-1.553761,0.34284207
D30.7_24,acinar,celseq2,-6.9806466,12.09879
human3_lib1.final_cell_0172,acinar,inDrop,-0.9272157,-3.5216506
human3_lib2.final_cell_0003,acinar,inDrop,-2.9991736,-0.94610906
AZ_F6,acinar,smartseq2,-7.814986,6.3396196
HP1508501T2D_I10,acinar,smartseq2,-7.3601403,6.1496153
human3_lib3.final_cell_0166,acinar,inDrop,-2.9020371,-0.8837871
human3_lib2.final_cell_0101,acinar,inDrop,-2.3239686,-2.4105825
HP1508501T2D_G17,acinar,smartseq2,-7.4084654,6.208085
HP1525301T2D_L5,acinar,smartseq2,-7.326792,6.816091
human3_lib2.final_cell_0277,acinar,inDrop,-2.3815575,-3.0906413
D28.6_63,acinar,celseq2,-8.940393,10.935463
human3_lib3.final_cell_0045,acinar,inDrop,-2.7529798,0.24771538
HP1502401_G18,acinar,smartseq2,-7.328141,6.886795
human3_lib1.final_cell_0483,acinar,inDrop,-2.4299858,-1.04823
human3_lib4.final_cell_0575,acinar,inDrop,-1.6285491,0.6086831
human3_lib4.final_cell_0519,acinar,inDrop,-1.3240963,-0.4433441
human3_lib4.final_cell_0512,acinar,inDrop,-1.2414093,-1.3626502
human3_lib4.final_cell_0615,acinar,inDrop,-0.7079698,-1.9469296
human3_lib4.final_cell_0555,acinar,inDrop,-0.03960393,-1.4620941
human3_lib3.final_cell_0803,acinar,inDrop,-1.6499722,-1.3641896
human3_lib1.final_cell_0013,acinar,inDrop,-2.7081583,-2.1370606
D31.2_75,acinar,celseq2,-8.7590885,11.1591835
HP1506401_B14,acinar,smartseq2,-8.069851,6.641229
human3_lib2.final_cell_0006,acinar,inDrop,-2.834619,-0.5355324
human3_lib1.final_cell_0300,acinar,inDrop,-2.1206026,0.809325
D30.3_91,acinar,celseq2,-7.7747293,11.903693
human3_lib4.final_cell_0155,acinar,inDrop,-2.8855622,-0.20979373
human3_lib1.final_cell_0307,acinar,inDrop,-2.3316855,-2.928448
human3_lib3.final_cell_0551,acinar,inDrop,-2.3340642,0.5115053
human3_lib2.final_cell_0069,acinar,inDrop,-1.7800554,-3.197433
human3_lib3.final_cell_0111,acinar,inDrop,-2.6664016,-2.5938916
human3_lib4.final_cell_0087,acinar,inDrop,-1.9276203,-2.1947021
human3_lib2.final_cell_0299,acinar,inDrop,-1.5241812,0.28317693
human3_lib2.final_cell_0108,acinar,inDrop,-2.0525253,-3.2155352
HP1506401_J2,acinar,smartseq2,-7.7584367,6.569665
D31.5_70,acinar,celseq2,-8.101139,11.553737
human3_lib1.final_cell_0214,acinar,inDrop,-1.2075686,-0.98698264
human3_lib2.final_cell_0107,acinar,inDrop,-2.326795,0.33562317
human3_lib4.final_cell_0742,acinar,inDrop,-1.7477672,-0.51625514
human1_lib3.final_cell_0043,acinar,inDrop,-1.117635,-2.854241
human3_lib1.final_cell_0035,acinar,inDrop,-3.0166433,-0.6549305
human3_lib3.final_cell_0685,acinar,inDrop,-2.1214788,0.43437228
human1_lib3.final_cell_0469,acinar,inDrop,-1.0570073,-3.4356701
HP1502401_C1,acinar,smartseq2,-7.3564487,7.1511164
HP1506401_N5,acinar,smartseq2,-7.9528837,7.213867
D31.7_77,acinar,celseq2,-8.590624,11.49841
human1_lib1.final_cell_0436,acinar,inDrop,-0.73261505,-1.6030885
D31.6_9,acinar,celseq2,-8.841021,11.330789
human3_lib2.final_cell_0020,acinar,inDrop,-3.1174896,-2.6074421
human3_lib2.final_cell_0180,acinar,inDrop,-2.492131,0.6498326
human3_lib3.final_cell_0139,acinar,inDrop,-2.7742147,-1.3621757
D28.3_25,acinar,celseq2,-8.718306,11.138707
human3_lib1.final_cell_0268,acinar,inDrop,-2.231398,-1.2318175
human3_lib4.final_cell_0746,acinar,inDrop,-1.8004644,0.43905717
human3_lib1.final_cell_0006,acinar,inDrop,-3.1153839,-2.1504765
human3_lib3.final_cell_0227,acinar,inDrop,-1.8452079,-2.7449098
human3_lib3.final_cell_0059,acinar,inDrop,-2.594708,-3.021153
HP1502401_J2,acinar,smartseq2,-7.276262,6.5792994
human3_lib2.final_cell_0135,acinar,inDrop,-2.8570952,-2.7311373
D28.7_51,acinar,celseq2,-8.816141,11.277793
HP1506401_L22,acinar,smartseq2,-7.0359597,11.699899
D31.4_70,acinar,celseq2,-8.930876,10.25504
human3_lib2.final_cell_0027,acinar,inDrop,-3.2051253,-1.7722125
human3_lib2.final_cell_0019,acinar,inDrop,-2.874926,-0.034890432
human3_lib4.final_cell_0783,acinar,inDrop,-1.2838643,-1.0991014
D31.6_53,acinar,celseq2,-9.001937,10.911074
human3_lib2.final_cell_0586,acinar,inDrop,-1.4793439,0.11232125
D28.4_63,acinar,celseq2,-8.332116,11.201203
D28.3_91,acinar,celseq2,-8.881917,11.02602
HP1508501T2D_F21,acinar,smartseq2,-7.4648604,6.579551
human1_lib2.final_cell_0616,acinar,inDrop,-0.4364936,-1.3724812
human3_lib2.final_cell_0082,acinar,inDrop,-2.9765296,-1.1021653
human3_lib1.final_cell_0022,acinar,inDrop,-2.6672058,-0.061705865
human1_lib3.final_cell_0020,acinar,inDrop,-1.6133674,-1.5725354
human3_lib3.final_cell_0243,acinar,inDrop,-1.5044827,-1.1906487
human3_lib4.final_cell_0195,acinar,inDrop,-2.4921896,-0.41783226
HP1508501T2D_A11,acinar,smartseq2,-7.510291,6.9691114
D31.3_73,acinar,celseq2,-7.5895596,11.820584
human3_lib3.final_cell_0019,acinar,inDrop,-2.2409775,0.8323168
human3_lib4.final_cell_0131,acinar,inDrop,-2.6631615,-2.0081222
human3_lib3.final_cell_0157,acinar,inDrop,-2.7594328,-0.764166
human3_lib3.final_cell_0241,acinar,inDrop,-1.8167166,-1.3183188
human1_lib1.final_cell_0029,acinar,inDrop,-1.0995346,-0.2769105
human3_lib3.final_cell_0031,acinar,inDrop,-2.6429734,-0.15114124
HP1526901T2D_K17,acinar,smartseq2,-7.402526,6.445913
D28.4_4,acinar,celseq2,-8.701221,9.882139
HP1506401_O21,acinar,smartseq2,-7.888289,6.434995
D31.6_21,acinar,celseq2,-6.7529855,12.044071
human3_lib3.final_cell_0651,acinar,inDrop,0.36519426,-4.944953
human1_lib3.final_cell_0600,acinar,inDrop,-1.2739561,-2.9271657
human3_lib1.final_cell_0439,acinar,inDrop,-1.4530002,0.32603875
human3_lib3.final_cell_0068,acinar,inDrop,-2.342617,-2.21488
human1_lib2.final_cell_0404,acinar,inDrop,-1.2021258,-1.0290262
D30.5_36,acinar,celseq2,-8.9591875,10.359145
human3_lib4.final_cell_0039,acinar,inDrop,-2.7292728,-1.8711635
D28.5_77,acinar,celseq2,-7.3750925,11.9917965
human3_lib2.final_cell_0800,acinar,inDrop,-1.9409845,-1.6611578
D30.8_63,acinar,celseq2,-7.4607763,12.011029
human3_lib2.final_cell_0174,acinar,inDrop,-2.1067455,-1.1614629
human3_lib4.final_cell_0076,acinar,inDrop,-2.3458297,0.6645973
human1_lib2.final_cell_0111,acinar,inDrop,-1.4370589,-2.8922777
human3_lib4.final_cell_0080,acinar,inDrop,-2.8627057,-1.3215473
human3_lib1.final_cell_0050,acinar,inDrop,-2.2384105,-0.85507643
human3_lib1.final_cell_0389,acinar,inDrop,-1.3456948,0.098621204
human3_lib4.final_cell_0636,acinar,inDrop,0.22823094,-5.782413
