index,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,-4.039576,-13.000011
D28.7_64,acinar,celseq2,2.1862788,-5.734085
D31.2_86,acinar,celseq2,3.4376075,-5.365889
human3_lib2.final_cell_0055,acinar,inDrop,-4.7167606,-13.467366
human3_lib4.final_cell_0748,acinar,inDrop,-3.4159393,-13.025702
human3_lib1.final_cell_0004,acinar,inDrop,-3.2185805,-13.809818
human3_lib2.final_cell_0497,acinar,inDrop,-2.7990057,-14.661458
human1_lib1.final_cell_0028,acinar,inDrop,-2.57788,-13.644281
D31.7_21,acinar,celseq2,3.2379148,-5.13678
human3_lib4.final_cell_0518,acinar,inDrop,-3.1606197,-14.281578
human3_lib1.final_cell_0005,acinar,inDrop,-2.1640086,-13.7498665
D28.5_31,acinar,celseq2,3.2222424,-4.8715425
human3_lib1.final_cell_0109,acinar,inDrop,-4.4950223,-14.228794
human3_lib3.final_cell_0385,acinar,inDrop,-3.8118353,-12.838721
human3_lib3.final_cell_0028,acinar,inDrop,-4.3677926,-14.213456
HP1502401_F13,acinar,smartseq2,1.0942594,-5.4703345
human3_lib1.final_cell_0371,acinar,inDrop,-3.3823385,-12.679234
HP1506401_D24,acinar,smartseq2,2.6862597,-6.32326
human3_lib4.final_cell_0148,acinar,inDrop,-2.7096107,-13.736448
HP1502401_M22,acinar,smartseq2,0.8283498,-5.748565
human3_lib4.final_cell_0072,acinar,inDrop,-3.7430196,-14.600164
human3_lib1.final_cell_0146,acinar,inDrop,-3.3845768,-13.639387
human3_lib1.final_cell_0642,acinar,inDrop,-3.4991012,-12.368248
human3_lib4.final_cell_0537,acinar,inDrop,-4.033536,-12.777615
human3_lib1.final_cell_0026,acinar,inDrop,-3.936629,-13.814376
human1_lib1.final_cell_0047,acinar,inDrop,-2.635435,-11.899363
human3_lib2.final_cell_0012,acinar,inDrop,-2.855406,-14.356048
human3_lib4.final_cell_0034,acinar,inDrop,-3.669529,-13.783486
D28.6_19,acinar,celseq2,1.447034,-5.398478
human3_lib1.final_cell_0027,acinar,inDrop,-2.2299237,-14.281769
human3_lib3.final_cell_0235,acinar,inDrop,-4.5842533,-14.232307
human3_lib4.final_cell_0358,acinar,inDrop,-4.418138,-13.215983
human3_lib4.final_cell_0292,acinar,inDrop,-4.827782,-13.373428
human3_lib1.final_cell_0044,acinar,inDrop,-3.0231266,-14.272626
D30.5_79,acinar,celseq2,1.2942574,-6.055773
D28.8_39,acinar,celseq2,2.3210702,-5.7829823
human1_lib3.final_cell_0031,acinar,inDrop,-2.3432324,-12.248379
human3_lib1.final_cell_0117,acinar,inDrop,-2.7108316,-14.515135
human3_lib2.final_cell_0083,acinar,inDrop,-3.3114998,-14.715471
D30.6_37,acinar,celseq2,1.2780918,-5.7665415
HP1506401_B16,acinar,smartseq2,3.3413913,-5.5459704
human3_lib1.final_cell_0112,acinar,inDrop,-4.31919,-13.754503
human3_lib3.final_cell_0022,acinar,inDrop,-4.5316844,-12.582742
human3_lib1.final_cell_0391,acinar,inDrop,-1.6132805,-13.268444
human3_lib1.final_cell_0215,acinar,inDrop,-2.4744108,-12.662224
