index,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,-9.400535,1.4400245
D28.7_64,acinar,celseq2,-11.664991,-0.2283668
D31.2_86,acinar,celseq2,-9.4715185,0.876812
human3_lib2.final_cell_0055,acinar,inDrop,-7.772628,2.740786
human3_lib4.final_cell_0748,acinar,inDrop,-8.123349,1.5045724
human3_lib1.final_cell_0004,acinar,inDrop,-8.733424,1.4883639
human3_lib2.final_cell_0497,acinar,inDrop,-9.109258,1.1893724
human1_lib1.final_cell_0028,acinar,inDrop,-6.6686745,0.42981407
D31.7_21,acinar,celseq2,-8.65419,1.1441265
human3_lib4.final_cell_0518,acinar,inDrop,-5.433721,0.1100759
human3_lib1.final_cell_0005,acinar,inDrop,-8.454159,0.8934293
D28.5_31,acinar,celseq2,-9.933021,0.76462525
human3_lib1.final_cell_0109,acinar,inDrop,-9.285172,2.2307901
human3_lib3.final_cell_0385,acinar,inDrop,-7.2802534,2.3733263
human3_lib3.final_cell_0028,acinar,inDrop,-9.400213,2.034368
HP1502401_F13,acinar,smartseq2,-11.45111,-0.5442522
human3_lib1.final_cell_0371,acinar,inDrop,-7.651933,2.6953056
HP1506401_D24,acinar,smartseq2,-11.403387,0.16677955
human3_lib4.final_cell_0148,acinar,inDrop,-8.609024,1.7059827
HP1502401_M22,acinar,smartseq2,-10.797232,-0.6249341
human3_lib4.final_cell_0072,acinar,inDrop,-8.386445,1.920008
human3_lib1.final_cell_0146,acinar,inDrop,-8.234055,1.2055289
human3_lib1.final_cell_0642,acinar,inDrop,-8.126248,4.286265
human3_lib4.final_cell_0537,acinar,inDrop,-8.560496,2.7049499
human3_lib1.final_cell_0026,acinar,inDrop,-8.98338,3.5135128
human1_lib1.final_cell_0047,acinar,inDrop,-7.554874,2.493413
human3_lib2.final_cell_0012,acinar,inDrop,-9.609121,1.9178826
human3_lib4.final_cell_0034,acinar,inDrop,-10.277306,2.1749983
D28.6_19,acinar,celseq2,-9.780534,0.73702425
human3_lib1.final_cell_0027,acinar,inDrop,-8.871949,1.6641883
human3_lib3.final_cell_0235,acinar,inDrop,-9.421394,4.157703
human3_lib4.final_cell_0358,acinar,inDrop,-8.25956,2.6567848
human3_lib4.final_cell_0292,acinar,inDrop,-7.5896335,3.5268378
human3_lib1.final_cell_0044,acinar,inDrop,-9.640978,2.0163782
D30.5_79,acinar,celseq2,-10.798468,-0.09963339
D28.8_39,acinar,celseq2,-11.939977,0.18000995
human1_lib3.final_cell_0031,acinar,inDrop,-7.344246,0.86377823
human3_lib1.final_cell_0117,acinar,inDrop,-10.421151,2.1470816
human3_lib2.final_cell_0083,acinar,inDrop,-9.698465,1.2881352
D30.6_37,acinar,celseq2,-10.879793,-0.040764403
HP1506401_B16,acinar,smartseq2,-11.389329,0.6261194
human3_lib1.final_cell_0112,acinar,inDrop,-8.74106,2.181345
human3_lib3.final_cell_0022,acinar,inDrop,-9.418736,6.09651
human3_lib1.final_cell_0391,acinar,inDrop,-7.217329,1.1977752
human3_lib1.final_cell_0215,acinar,inDrop,-9.094776,2.523431
human1_lib1.final_cell_0461,acinar,inDrop,-7.121989,0.69025713
human3_lib2.final_cell_0685,acinar,inDrop,-7.4898114,0.88017076
human3_lib4.final_cell_0272,acinar,inDrop,-9.942558,1.7105858
HP1506401_D3,acinar,smartseq2,-11.159179,0.7220103
human3_lib3.final_cell_0163,acinar,inDrop,-8.636595,2.1357276
human1_lib1.final_cell_0182,acinar,inDrop,-7.0314584,2.117612
HP1504101T2D_J16,acinar,smartseq2,-11.355512,-0.67477155
human3_lib2.final_cell_0105,acinar,inDrop,-8.79732,0.83422947
human3_lib4.final_cell_0466,acinar,inDrop,-8.952925,3.4100819
D30.4_18,acinar,celseq2,-11.677356,-0.5427698
human3_lib3.final_cell_0044,acinar,inDrop,-6.768404,0.23632866
D28.5_63,acinar,celseq2,-11.486039,-0.05827062
HP1504901_F23,acinar,smartseq2,-10.247599,0.63744724
human3_lib1.final_cell_0069,acinar,inDrop,-7.5137115,1.2663476
D31.3_89,acinar,celseq2,-12.13358,-0.3122061
human3_lib4.final_cell_0103,acinar,inDrop,-9.2081785,3.0283885
human3_lib2.final_cell_0036,acinar,inDrop,-8.911886,1.2534105
HP1506401_J15,acinar,smartseq2,-11.207536,-0.0630843
human3_lib1.final_cell_0505,acinar,inDrop,-8.147666,1.8625208
HP1506401_O16,acinar,smartseq2,-11.341564,0.47199443
human3_lib2.final_cell_0267,acinar,inDrop,-9.3688755,2.8043466
