index,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,1.2729946,-11.792777
D28.7_64,acinar,celseq2,-9.122025,6.536142
D31.2_86,acinar,celseq2,-10.393088,6.501205
human3_lib2.final_cell_0055,acinar,inDrop,0.82634455,-12.568469
human3_lib4.final_cell_0748,acinar,inDrop,-0.72754425,-11.620501
human3_lib1.final_cell_0004,acinar,inDrop,-0.026866147,-10.850396
human3_lib2.final_cell_0497,acinar,inDrop,-0.7207355,-9.932972
human1_lib1.final_cell_0028,acinar,inDrop,0.42041534,-10.281521
D31.7_21,acinar,celseq2,-10.1902485,6.350218
human3_lib4.final_cell_0518,acinar,inDrop,0.5493671,-10.538375
human3_lib1.final_cell_0005,acinar,inDrop,-1.2751054,-9.862322
D28.5_31,acinar,celseq2,-9.808598,6.272897
human3_lib1.final_cell_0109,acinar,inDrop,0.86523247,-11.708316
human3_lib3.final_cell_0385,acinar,inDrop,-0.72642654,-12.252043
human3_lib3.final_cell_0028,acinar,inDrop,0.74610966,-11.626588
HP1502401_F13,acinar,smartseq2,-8.047376,6.1945896
human3_lib1.final_cell_0371,acinar,inDrop,-1.1043047,-12.066902
HP1506401_D24,acinar,smartseq2,-9.69738,7.334014
human3_lib4.final_cell_0148,acinar,inDrop,-0.24142702,-10.505304
HP1502401_M22,acinar,smartseq2,-7.8189335,6.1444726
human3_lib4.final_cell_0072,acinar,inDrop,0.42021888,-11.115912
human3_lib1.final_cell_0146,acinar,inDrop,0.082015485,-10.8211975
human3_lib1.final_cell_0642,acinar,inDrop,-0.7398951,-12.153082
human3_lib4.final_cell_0537,acinar,inDrop,0.08185265,-12.094562
human3_lib1.final_cell_0026,acinar,inDrop,0.6236423,-11.765661
human1_lib1.final_cell_0047,acinar,inDrop,-0.065643534,-12.70772
human3_lib2.final_cell_0012,acinar,inDrop,-0.1769346,-9.895566
human3_lib4.final_cell_0034,acinar,inDrop,-0.49543923,-11.708672
D28.6_19,acinar,celseq2,-8.385631,6.1986217
human3_lib1.final_cell_0027,acinar,inDrop,-1.2309667,-10.667708
human3_lib3.final_cell_0235,acinar,inDrop,0.6272944,-12.076126
human3_lib4.final_cell_0358,acinar,inDrop,1.1354065,-12.121558
human3_lib4.final_cell_0292,acinar,inDrop,0.83253133,-12.462522
human3_lib1.final_cell_0044,acinar,inDrop,0.11156979,-10.59894
D30.5_79,acinar,celseq2,-8.090637,7.026794
D28.8_39,acinar,celseq2,-9.186181,6.6912394
human1_lib3.final_cell_0031,acinar,inDrop,0.53601944,-10.096756
human3_lib1.final_cell_0117,acinar,inDrop,-0.49519596,-9.865113
human3_lib2.final_cell_0083,acinar,inDrop,-0.01343406,-10.791635
D30.6_37,acinar,celseq2,-8.011243,6.6767907
HP1506401_B16,acinar,smartseq2,-10.2575245,7.0176096
human3_lib1.final_cell_0112,acinar,inDrop,-0.084068425,-11.216998
human3_lib3.final_cell_0022,acinar,inDrop,-0.30925122,-12.957242
human3_lib1.final_cell_0391,acinar,inDrop,-0.9154112,-9.4858
human3_lib1.final_cell_0215,acinar,inDrop,-1.6365497,-11.063469
human1_lib1.final_cell_0461,acinar,inDrop,0.4245454,-9.815213
human3_lib2.final_cell_0685,acinar,inDrop,-1.1789486,-9.477727
human3_lib4.final_cell_0272,acinar,inDrop,-0.4289333,-10.465354
HP1506401_D3,acinar,smartseq2,-10.557676,6.957017
human3_lib3.final_cell_0163,acinar,inDrop,0.17615944,-10.973289
human1_lib1.final_cell_0182,acinar,inDrop,0.48602465,-10.434554
HP1504101T2D_J16,acinar,smartseq2,-7.7436423,5.9815483
human3_lib2.final_cell_0105,acinar,inDrop,-0.40146774,-9.535514
human3_lib4.final_cell_0466,acinar,inDrop,-0.48897418,-12.036322
D30.4_18,acinar,celseq2,-8.0788555,6.3701334
human3_lib3.final_cell_0044,acinar,inDrop,-0.90420794,-9.78032
D28.5_63,acinar,celseq2,-9.081603,7.5048895
HP1504901_F23,acinar,smartseq2,-10.371517,6.473911
human3_lib1.final_cell_0069,acinar,inDrop,-0.784872,-9.95358
D31.3_89,acinar,celseq2,-8.94244,6.041069
human3_lib4.final_cell_0103,acinar,inDrop,0.92141515,-12.175847
human3_lib2.final_cell_0036,acinar,inDrop,-0.01209261,-10.405508
HP1506401_J15,acinar,smartseq2,-9.615175,7.6420636
human3_lib1.final_cell_0505,acinar,inDrop,-0.31615588,-11.407275
HP1506401_O16,acinar,smartseq2,-10.264006,7.1644554
human3_lib2.final_cell_0267,acinar,inDrop,0.4619851,-11.519176
human3_lib3.final_cell_0703,acinar,inDrop,-0.921449,-12.49712
human3_lib2.final_cell_0109,acinar,inDrop,0.04421008,-12.080084
D30.2_53,acinar,celseq2,-8.086608,6.771795
human3_lib4.final_cell_0171,acinar,inDrop,-0.9624846,-12.752685
HP1506401_N23,acinar,smartseq2,-9.842392,7.164029
D28.3_51,acinar,celseq2,-9.028251,6.7964296
human3_lib2.final_cell_0134,acinar,inDrop,0.8238532,-11.922753
human1_lib2.final_cell_0582,acinar,inDrop,-1.0049633,-12.501446
D28.5_37,acinar,celseq2,-9.323672,6.209105
human3_lib1.final_cell_0212,acinar,inDrop,-0.7382807,-12.42924
D28.3_90,acinar,celseq2,-9.827496,6.261161
human3_lib2.final_cell_0675,acinar,inDrop,-1.364266,-9.714658
D31.1_21,acinar,celseq2,-8.9827385,7.254769
human3_lib3.final_cell_0205,acinar,inDrop,0.22725764,-11.036997
human3_lib4.final_cell_0184,acinar,inDrop,-0.17153026,-10.9799185
human3_lib3.final_cell_0079,acinar,inDrop,-0.6508538,-9.639753
human3_lib2.final_cell_0060,acinar,inDrop,0.7104082,-11.768193
human3_lib1.final_cell_0204,acinar,inDrop,-0.22830214,-10.611331
HP1506401_N9,acinar,smartseq2,-10.49257,6.9401593
HP1526901T2D_H2,acinar,smartseq2,-8.571419,6.76609
human3_lib4.final_cell_0070,acinar,inDrop,-0.9958297,-9.643375
human3_lib3.final_cell_0415,acinar,inDrop,-0.64783263,-9.55538
HP1525301T2D_F10,acinar,smartseq2,-8.42269,7.1874676
D31.5_69,acinar,celseq2,-8.241455,7.2479596
human3_lib3.final_cell_0208,acinar,inDrop,0.9098435,-10.993073
human3_lib1.final_cell_0038,acinar,inDrop,-0.40416476,-10.289436
human3_lib4.final_cell_0533,acinar,inDrop,-1.1424265,-10.96472
human1_lib3.final_cell_0231,acinar,inDrop,-0.15521841,-12.871788
HP1504101T2D_C11,acinar,smartseq2,-8.963654,7.6744685
human3_lib3.final_cell_0066,acinar,inDrop,0.22923584,-11.544649
human3_lib4.final_cell_0108,acinar,inDrop,-0.851982,-9.754927
D30.7_1,acinar,celseq2,-9.407172,7.0215406
human3_lib3.final_cell_0301,acinar,inDrop,0.34886062,-10.1408415
human3_lib4.final_cell_0149,acinar,inDrop,-0.44303027,-13.092896
HP1508501T2D_B14,acinar,smartseq2,-9.522117,7.5720673
human3_lib4.final_cell_0003,acinar,inDrop,0.6442275,-11.604843
human3_lib3.final_cell_0266,acinar,inDrop,0.028698158,-5.846724
human3_lib1.final_cell_0373,acinar,inDrop,0.5921624,-12.454706
D30.7_24,acinar,celseq2,-8.541862,7.0470824
human3_lib1.final_cell_0172,acinar,inDrop,4.887956,-2.3501778
human3_lib2.final_cell_0003,acinar,inDrop,-1.2794614,-11.5240555
AZ_F6,acinar,smartseq2,-9.995769,7.0322723
HP1508501T2D_I10,acinar,smartseq2,-9.568937,7.7941995
human3_lib3.final_cell_0166,acinar,inDrop,-0.31880552,-11.773323
human3_lib2.final_cell_0101,acinar,inDrop,-0.3229897,-10.132637
HP1508501T2D_G17,acinar,smartseq2,-8.566259,6.0738044
HP1525301T2D_L5,acinar,smartseq2,-8.240266,6.175298
human3_lib2.final_cell_0277,acinar,inDrop,-1.5494235,-9.83629
D28.6_63,acinar,celseq2,-9.024973,6.074119
human3_lib3.final_cell_0045,acinar,inDrop,-0.31214824,-12.220573
HP1502401_G18,acinar,smartseq2,-7.889387,6.0002913
human3_lib1.final_cell_0483,acinar,inDrop,-1.1063545,-10.37621
human3_lib4.final_cell_0575,acinar,inDrop,0.036483414,-12.418788
human3_lib4.final_cell_0519,acinar,inDrop,0.29303303,-12.179449
human3_lib4.final_cell_0512,acinar,inDrop,-0.8284309,-10.864624
human3_lib4.final_cell_0615,acinar,inDrop,0.3215728,-10.620577
human3_lib4.final_cell_0555,acinar,inDrop,3.8290503,-1.2550288
human3_lib3.final_cell_0803,acinar,inDrop,-1.1318481,-10.946192
human3_lib1.final_cell_0013,acinar,inDrop,0.7947604,-11.083439
D31.2_75,acinar,celseq2,-9.55487,6.5025
HP1506401_B14,acinar,smartseq2,-10.501875,6.865964
human3_lib2.final_cell_0006,acinar,inDrop,0.83505917,-11.235347
human3_lib1.final_cell_0300,acinar,inDrop,-0.48552325,-12.816663
D30.3_91,acinar,celseq2,-8.645121,6.54262
human3_lib4.final_cell_0155,acinar,inDrop,-0.6297668,-11.450846
human3_lib1.final_cell_0307,acinar,inDrop,-0.8547662,-9.989821
human3_lib3.final_cell_0551,acinar,inDrop,-0.9425241,-12.528121
human3_lib2.final_cell_0069,acinar,inDrop,-0.7102829,-9.565301
human3_lib3.final_cell_0111,acinar,inDrop,-0.31740424,-10.344097
human3_lib4.final_cell_0087,acinar,inDrop,0.38217932,-10.808941
human3_lib2.final_cell_0299,acinar,inDrop,-0.296892,-12.508062
human3_lib2.final_cell_0108,acinar,inDrop,-0.8376877,-9.6189
HP1506401_J2,acinar,smartseq2,-9.617294,7.6268744
D31.5_70,acinar,celseq2,-9.567229,6.486848
human3_lib1.final_cell_0214,acinar,inDrop,-0.3827193,-11.611334
human3_lib2.final_cell_0107,acinar,inDrop,-0.56241477,-12.896797
human3_lib4.final_cell_0742,acinar,inDrop,-0.5156031,-11.927594
human1_lib3.final_cell_0043,acinar,inDrop,0.705927,-10.146124
human3_lib1.final_cell_0035,acinar,inDrop,-1.3639574,-11.521291
human3_lib3.final_cell_0685,acinar,inDrop,-0.31383017,-12.132218
human1_lib3.final_cell_0469,acinar,inDrop,0.06754765,-7.354941
HP1502401_C1,acinar,smartseq2,-8.280979,7.2994556
HP1506401_N5,acinar,smartseq2,-10.573327,6.946322
D31.7_77,acinar,celseq2,-9.2332735,6.188576
human1_lib1.final_cell_0436,acinar,inDrop,-0.10126254,-12.883505
D31.6_9,acinar,celseq2,-8.477957,6.3064218
human3_lib2.final_cell_0020,acinar,inDrop,-0.7737323,-9.8886595
human3_lib2.final_cell_0180,acinar,inDrop,-0.7850031,-12.94308
human3_lib3.final_cell_0139,acinar,inDrop,-1.5023538,-10.680485
D28.3_25,acinar,celseq2,-9.268138,6.0274587
human3_lib1.final_cell_0268,acinar,inDrop,-0.25184432,-10.923714
human3_lib4.final_cell_0746,acinar,inDrop,-0.113686174,-11.837702
human3_lib1.final_cell_0006,acinar,inDrop,-1.4334645,-10.020051
human3_lib3.final_cell_0227,acinar,inDrop,1.0613087,-10.5104885
human3_lib3.final_cell_0059,acinar,inDrop,-0.7963271,-9.834962
HP1502401_J2,acinar,smartseq2,-7.7088633,5.946005
human3_lib2.final_cell_0135,acinar,inDrop,-0.4448007,-9.75421
D28.7_51,acinar,celseq2,-9.202009,6.469429
HP1506401_L22,acinar,smartseq2,-10.465241,6.581419
D31.4_70,acinar,celseq2,-9.242821,6.879574
human3_lib2.final_cell_0027,acinar,inDrop,-0.050795846,-10.447961
human3_lib2.final_cell_0019,acinar,inDrop,1.1291778,-11.584457
human3_lib4.final_cell_0783,acinar,inDrop,-0.90030885,-11.648662
D31.6_53,acinar,celseq2,-8.200358,6.510378
human3_lib2.final_cell_0586,acinar,inDrop,-0.3011274,-12.572475
D28.4_63,acinar,celseq2,-10.167785,6.4618645
D28.3_91,acinar,celseq2,-9.40421,6.655389
HP1508501T2D_F21,acinar,smartseq2,-7.8794513,6.061627
human1_lib2.final_cell_0616,acinar,inDrop,-0.19865362,-12.750222
human3_lib2.final_cell_0082,acinar,inDrop,0.4020255,-10.8721285
human3_lib1.final_cell_0022,acinar,inDrop,0.73081636,-12.446532
human1_lib3.final_cell_0020,acinar,inDrop,1.8009648,-10.964823
human3_lib3.final_cell_0243,acinar,inDrop,0.03449827,-11.0080595
human3_lib4.final_cell_0195,acinar,inDrop,0.7602788,-11.471937
HP1508501T2D_A11,acinar,smartseq2,-8.261291,6.1301746
D31.3_73,acinar,celseq2,-9.542162,6.1852784
human3_lib3.final_cell_0019,acinar,inDrop,-0.6116903,-13.015053
human3_lib4.final_cell_0131,acinar,inDrop,-0.09390663,-10.551433
human3_lib3.final_cell_0157,acinar,inDrop,-0.9984815,-12.053755
human3_lib3.final_cell_0241,acinar,inDrop,0.05515483,-10.598272
human1_lib1.final_cell_0029,acinar,inDrop,-0.3236601,-12.970386
