,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,0.08719307,8.596831
human3_lib2.final_cell_0055,acinar,inDrop,0.0487969,7.977272
human3_lib4.final_cell_0748,acinar,inDrop,-1.3995423,7.6889186
human3_lib1.final_cell_0004,acinar,inDrop,-0.2401997,9.169436
human3_lib2.final_cell_0497,acinar,inDrop,-0.5744525,9.45038
human1_lib1.final_cell_0028,acinar,inDrop,-1.342287,9.371327
human3_lib4.final_cell_0518,acinar,inDrop,-1.6574426,7.9991126
human3_lib1.final_cell_0005,acinar,inDrop,-0.38745457,9.492361
human3_lib1.final_cell_0109,acinar,inDrop,-0.27328187,7.657891
human3_lib3.final_cell_0385,acinar,inDrop,0.12004743,7.8954477
human3_lib3.final_cell_0028,acinar,inDrop,0.009831541,8.220793
human3_lib1.final_cell_0371,acinar,inDrop,-0.82416534,7.5910187
human3_lib4.final_cell_0148,acinar,inDrop,-0.8293777,9.071767
human3_lib4.final_cell_0072,acinar,inDrop,-1.1873286,8.015993
human3_lib1.final_cell_0146,acinar,inDrop,-1.0188009,8.339525
human3_lib1.final_cell_0642,acinar,inDrop,-1.2664875,7.565834
human3_lib4.final_cell_0537,acinar,inDrop,-0.8584536,7.8569555
human3_lib1.final_cell_0026,acinar,inDrop,0.30642384,8.499485
human1_lib1.final_cell_0047,acinar,inDrop,-1.5050575,8.401115
human3_lib2.final_cell_0012,acinar,inDrop,-0.0034121473,9.220383
human3_lib4.final_cell_0034,acinar,inDrop,-0.5033567,7.750435
human3_lib1.final_cell_0027,acinar,inDrop,-0.6212949,9.002429
human3_lib3.final_cell_0235,acinar,inDrop,-0.0007975845,8.363872
human3_lib4.final_cell_0358,acinar,inDrop,-1.9740621,7.4741926
human3_lib4.final_cell_0292,acinar,inDrop,-0.038655944,7.487526
human3_lib1.final_cell_0044,acinar,inDrop,-0.13423231,9.383911
human1_lib3.final_cell_0031,acinar,inDrop,-2.2669425,8.35952
human3_lib1.final_cell_0117,acinar,inDrop,-1.0836213,8.980345
human3_lib2.final_cell_0083,acinar,inDrop,-0.136352,9.02332
human3_lib1.final_cell_0112,acinar,inDrop,-0.14664774,8.062564
human3_lib3.final_cell_0022,acinar,inDrop,-0.0125279175,7.5793524
