,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,7.7550683,4.0174623
human3_lib2.final_cell_0055,acinar,inDrop,7.7025633,3.047811
human3_lib4.final_cell_0748,acinar,inDrop,6.574973,3.823014
human3_lib1.final_cell_0004,acinar,inDrop,6.7026663,4.5316405
human3_lib2.final_cell_0497,acinar,inDrop,7.6745934,5.334687
human1_lib1.final_cell_0028,acinar,inDrop,6.601866,5.0893564
human3_lib4.final_cell_0518,acinar,inDrop,6.7215986,4.101162
human3_lib1.final_cell_0005,acinar,inDrop,6.914498,4.6779
human3_lib1.final_cell_0109,acinar,inDrop,7.425355,3.5959318
human3_lib3.final_cell_0385,acinar,inDrop,7.080929,3.2637198
human3_lib3.final_cell_0028,acinar,inDrop,7.698403,3.6674495
human3_lib1.final_cell_0371,acinar,inDrop,6.6831603,3.3281968
human3_lib4.final_cell_0148,acinar,inDrop,6.6326694,4.130976
human3_lib4.final_cell_0072,acinar,inDrop,8.038951,4.3677983
human3_lib1.final_cell_0146,acinar,inDrop,6.8739448,3.926668
human3_lib1.final_cell_0642,acinar,inDrop,6.512908,3.4201741
human3_lib4.final_cell_0537,acinar,inDrop,7.132312,3.3305414
human3_lib1.final_cell_0026,acinar,inDrop,7.7215834,3.933097
human1_lib1.final_cell_0047,acinar,inDrop,5.850597,3.9824831
human3_lib2.final_cell_0012,acinar,inDrop,7.836727,4.703383
human3_lib4.final_cell_0034,acinar,inDrop,7.459895,3.6606607
human3_lib1.final_cell_0027,acinar,inDrop,7.3669147,4.4127536
human3_lib3.final_cell_0235,acinar,inDrop,8.148011,4.138778
human3_lib4.final_cell_0358,acinar,inDrop,7.1210856,2.7865138
human3_lib4.final_cell_0292,acinar,inDrop,7.665605,2.7918777
human3_lib1.final_cell_0044,acinar,inDrop,7.6968093,4.944895
human1_lib3.final_cell_0031,acinar,inDrop,6.0426497,4.4775934
human3_lib1.final_cell_0117,acinar,inDrop,7.573369,4.881989
human3_lib2.final_cell_0083,acinar,inDrop,7.4410224,4.948753
human3_lib1.final_cell_0112,acinar,inDrop,7.618654,3.472226
human3_lib3.final_cell_0022,acinar,inDrop,7.4597473,2.8678935
human3_lib1.final_cell_0391,acinar,inDrop,6.6999145,5.070656
human3_lib1.final_cell_0215,acinar,inDrop,6.8324294,3.818186
human1_lib1.final_cell_0461,acinar,inDrop,5.8115516,4.7056437
human3_lib2.final_cell_0685,acinar,inDrop,5.7200994,4.933003
human3_lib4.final_cell_0272,acinar,inDrop,7.7202682,5.2884154
human3_lib3.final_cell_0163,acinar,inDrop,6.865005,4.228878
human1_lib1.final_cell_0182,acinar,inDrop,6.0316563,4.521152
human3_lib2.final_cell_0105,acinar,inDrop,7.369068,5.336556
human3_lib4.final_cell_0466,acinar,inDrop,7.462024,3.1311047
human3_lib3.final_cell_0044,acinar,inDrop,7.245805,5.1184406
human3_lib1.final_cell_0069,acinar,inDrop,6.6100087,4.4641495
human3_lib4.final_cell_0103,acinar,inDrop,7.7956715,3.5983152
human3_lib2.final_cell_0036,acinar,inDrop,7.3690314,5.1511264
human3_lib1.final_cell_0505,acinar,inDrop,7.1095576,3.6458826
human3_lib2.final_cell_0267,acinar,inDrop,7.9580092,4.3836856
human3_lib3.final_cell_0703,acinar,inDrop,6.5173106,3.1114416
