index,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,-2.8497648,1.8130529
D28.7_64,acinar,celseq2,-2.7204306,-2.3271775
D31.2_86,acinar,celseq2,0.5865143,-0.44039193
human3_lib2.final_cell_0055,acinar,inDrop,-1.7296561,2.4804564
human3_lib4.final_cell_0748,acinar,inDrop,2.527066,3.3246956
human3_lib1.final_cell_0004,acinar,inDrop,-3.3510652,1.3246595
human3_lib2.final_cell_0497,acinar,inDrop,-3.821686,1.0560652
human1_lib1.final_cell_0028,acinar,inDrop,-3.5400083,0.55336297
D31.7_21,acinar,celseq2,2.977068,0.68662006
human3_lib4.final_cell_0518,acinar,inDrop,-4.137233,0.41002706
human3_lib1.final_cell_0005,acinar,inDrop,-3.0838573,1.0625837
D28.5_31,acinar,celseq2,-0.021989688,-1.1035426
human3_lib1.final_cell_0109,acinar,inDrop,-2.8483617,2.615544
human3_lib3.final_cell_0385,acinar,inDrop,-1.7171272,3.1101353
human3_lib3.final_cell_0028,acinar,inDrop,-2.6628928,1.6185755
HP1502401_F13,acinar,smartseq2,-1.8872199,-4.110424
human3_lib1.final_cell_0371,acinar,inDrop,-1.4739454,2.56409
HP1506401_D24,acinar,smartseq2,-2.7442784,-2.8148885
human3_lib4.final_cell_0148,acinar,inDrop,-2.5331943,2.0553079
HP1502401_M22,acinar,smartseq2,-2.3597424,-2.6007752
human3_lib4.final_cell_0072,acinar,inDrop,-3.4283562,1.8986956
human3_lib1.final_cell_0146,acinar,inDrop,-2.537811,2.5065863
human3_lib1.final_cell_0642,acinar,inDrop,-0.318194,2.8152094
human3_lib4.final_cell_0537,acinar,inDrop,-2.4323165,2.5233433
human3_lib1.final_cell_0026,acinar,inDrop,-3.339623,1.587343
human1_lib1.final_cell_0047,acinar,inDrop,-1.5696726,2.656872
human3_lib2.final_cell_0012,acinar,inDrop,-3.8250935,1.6296462
human3_lib4.final_cell_0034,acinar,inDrop,-2.436413,2.3868303
D28.6_19,acinar,celseq2,-1.547265,-3.9461026
human3_lib1.final_cell_0027,acinar,inDrop,-3.0514536,1.2078755
human3_lib3.final_cell_0235,acinar,inDrop,-3.0931175,1.8816329
