,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,9.968067,-2.8186634
human3_lib2.final_cell_0055,acinar,inDrop,10.645583,-2.5904841
human3_lib4.final_cell_0748,acinar,inDrop,9.835336,-1.5093992
human3_lib1.final_cell_0004,acinar,inDrop,8.621948,-2.0302408
human3_lib2.final_cell_0497,acinar,inDrop,8.277837,-2.2557688
human1_lib1.final_cell_0028,acinar,inDrop,7.998789,-1.63151
human3_lib4.final_cell_0518,acinar,inDrop,8.353285,-2.4100118
human3_lib1.final_cell_0005,acinar,inDrop,8.344308,-2.3726673
human3_lib1.final_cell_0109,acinar,inDrop,10.633416,-2.4896908
human3_lib3.final_cell_0385,acinar,inDrop,9.765365,-2.4505053
human3_lib3.final_cell_0028,acinar,inDrop,9.924444,-2.8972316
human3_lib1.final_cell_0371,acinar,inDrop,10.371002,-2.3041115
human3_lib4.final_cell_0148,acinar,inDrop,9.512144,-2.3417091
human3_lib4.final_cell_0072,acinar,inDrop,9.790843,-2.9538128
human3_lib1.final_cell_0146,acinar,inDrop,9.101093,-2.1052458
human3_lib1.final_cell_0642,acinar,inDrop,9.982233,-1.2471781
human3_lib4.final_cell_0537,acinar,inDrop,10.462949,-1.9532851
human3_lib1.final_cell_0026,acinar,inDrop,10.2160425,-2.480482
human1_lib1.final_cell_0047,acinar,inDrop,8.533655,-0.8317552
human3_lib2.final_cell_0012,acinar,inDrop,8.136715,-2.79452
human3_lib4.final_cell_0034,acinar,inDrop,10.126006,-2.6564057
human3_lib1.final_cell_0027,acinar,inDrop,8.427552,-2.684144
human3_lib3.final_cell_0235,acinar,inDrop,9.755009,-2.9956968
human3_lib4.final_cell_0358,acinar,inDrop,10.74652,-2.2005284
human3_lib4.final_cell_0292,acinar,inDrop,10.612059,-2.6161976
human3_lib1.final_cell_0044,acinar,inDrop,8.076717,-2.2971659
human1_lib3.final_cell_0031,acinar,inDrop,8.302581,-1.0285966
human3_lib1.final_cell_0117,acinar,inDrop,8.9557905,-2.2635672
human3_lib2.final_cell_0083,acinar,inDrop,8.8622875,-3.0138726
human3_lib1.final_cell_0112,acinar,inDrop,9.760072,-2.3715029
human3_lib3.final_cell_0022,acinar,inDrop,10.680971,-1.9090424
human3_lib1.final_cell_0391,acinar,inDrop,8.051249,-2.131472
human3_lib1.final_cell_0215,acinar,inDrop,9.931929,-1.6071092
human1_lib1.final_cell_0461,acinar,inDrop,8.138338,-1.0726087
human3_lib2.final_cell_0685,acinar,inDrop,8.185972,-1.8077908
human3_lib4.final_cell_0272,acinar,inDrop,8.741924,-2.9712732
human3_lib3.final_cell_0163,acinar,inDrop,8.847335,-1.5773877
human1_lib1.final_cell_0182,acinar,inDrop,8.404237,-1.0131325
human3_lib2.final_cell_0105,acinar,inDrop,8.10841,-2.2261453
human3_lib4.final_cell_0466,acinar,inDrop,10.386319,-1.4157887
human3_lib3.final_cell_0044,acinar,inDrop,8.318694,-2.1891925
human3_lib1.final_cell_0069,acinar,inDrop,8.51697,-2.1448138
human3_lib4.final_cell_0103,acinar,inDrop,10.291712,-2.7484498
human3_lib2.final_cell_0036,acinar,inDrop,7.8724294,-2.113966
human3_lib1.final_cell_0505,acinar,inDrop,10.236151,-2.0897086
human3_lib2.final_cell_0267,acinar,inDrop,9.862296,-2.8966796
human3_lib3.final_cell_0703,acinar,inDrop,10.317866,-1.4366504
human3_lib2.final_cell_0109,acinar,inDrop,8.962522,-1.2205838
human3_lib4.final_cell_0171,acinar,inDrop,9.656927,-1.4210949
human3_lib2.final_cell_0134,acinar,inDrop,9.721693,-2.0071332
human1_lib2.final_cell_0582,acinar,inDrop,9.685313,-1.1284904
human3_lib1.final_cell_0212,acinar,inDrop,10.14182,-1.5179484
human3_lib2.final_cell_0675,acinar,inDrop,8.946822,-2.1467037
human3_lib3.final_cell_0205,acinar,inDrop,8.976192,-2.8526657
human3_lib4.final_cell_0184,acinar,inDrop,8.701595,-1.93334
human3_lib3.final_cell_0079,acinar,inDrop,8.018673,-2.1482935
human3_lib2.final_cell_0060,acinar,inDrop,9.374822,-2.5688303
human3_lib1.final_cell_0204,acinar,inDrop,8.560545,-2.215916
human3_lib4.final_cell_0070,acinar,inDrop,8.64597,-2.058224
human3_lib3.final_cell_0415,acinar,inDrop,8.160825,-2.1402533
human3_lib3.final_cell_0208,acinar,inDrop,9.661475,-2.3304284
human3_lib1.final_cell_0038,acinar,inDrop,8.513452,-2.6420548
human3_lib4.final_cell_0533,acinar,inDrop,10.05755,-1.5190115
human1_lib3.final_cell_0231,acinar,inDrop,8.974699,-0.82302773
human3_lib3.final_cell_0066,acinar,inDrop,9.619136,-2.8436978
human3_lib4.final_cell_0108,acinar,inDrop,9.161117,-2.7210035
human3_lib3.final_cell_0301,acinar,inDrop,8.2545395,-1.7363034
human3_lib4.final_cell_0149,acinar,inDrop,10.794638,-1.8271396
human3_lib4.final_cell_0003,acinar,inDrop,10.172308,-2.7575572
human3_lib3.final_cell_0266,acinar,inDrop,8.118107,-1.971809
human3_lib1.final_cell_0373,acinar,inDrop,10.717789,-1.7309581
human3_lib1.final_cell_0172,acinar,inDrop,8.181464,-1.7798454
human3_lib2.final_cell_0003,acinar,inDrop,9.2364235,-2.2945027
human3_lib3.final_cell_0166,acinar,inDrop,9.965669,-1.8487979
human3_lib2.final_cell_0101,acinar,inDrop,8.165938,-2.6253583
human3_lib2.final_cell_0277,acinar,inDrop,8.682852,-2.2385387
human3_lib3.final_cell_0045,acinar,inDrop,10.3529625,-2.7354324
human3_lib1.final_cell_0483,acinar,inDrop,9.202572,-1.91489
human3_lib4.final_cell_0575,acinar,inDrop,10.60852,-1.6116179
human3_lib4.final_cell_0519,acinar,inDrop,10.267282,-1.8841404
human3_lib4.final_cell_0512,acinar,inDrop,9.49366,-1.986938
human3_lib4.final_cell_0615,acinar,inDrop,-1.5195667,3.9577549
human3_lib4.final_cell_0555,acinar,inDrop,-0.292791,3.012858
human3_lib3.final_cell_0803,acinar,inDrop,9.889325,-1.8090953
human3_lib1.final_cell_0013,acinar,inDrop,8.834256,-3.0420127
human3_lib2.final_cell_0006,acinar,inDrop,9.26712,-1.8575581
human3_lib1.final_cell_0300,acinar,inDrop,10.764763,-1.9778196
human3_lib4.final_cell_0155,acinar,inDrop,9.987977,-2.524398
human3_lib1.final_cell_0307,acinar,inDrop,8.396869,-2.6610348
human3_lib3.final_cell_0551,acinar,inDrop,9.9524765,-1.3490355
human3_lib2.final_cell_0069,acinar,inDrop,7.9461703,-2.2768621
human3_lib3.final_cell_0111,acinar,inDrop,8.377227,-2.6581922
human3_lib4.final_cell_0087,acinar,inDrop,8.868,-2.6766102
human3_lib2.final_cell_0299,acinar,inDrop,10.64441,-2.3988264
human3_lib2.final_cell_0108,acinar,inDrop,8.026041,-1.9226279
human3_lib1.final_cell_0214,acinar,inDrop,9.68456,-2.004681
human3_lib2.final_cell_0107,acinar,inDrop,10.398377,-2.4154427
human3_lib4.final_cell_0742,acinar,inDrop,9.966217,-1.2941204
human1_lib3.final_cell_0043,acinar,inDrop,8.340081,-1.1563762
human3_lib1.final_cell_0035,acinar,inDrop,9.633814,-2.0064511
human3_lib3.final_cell_0685,acinar,inDrop,10.58971,-1.7276709
human1_lib3.final_cell_0469,acinar,inDrop,7.970628,-1.3838001
human1_lib1.final_cell_0436,acinar,inDrop,8.760893,-0.52469397
human3_lib2.final_cell_0020,acinar,inDrop,8.267243,-2.7832687
human3_lib2.final_cell_0180,acinar,inDrop,10.769494,-2.1936722
human3_lib3.final_cell_0139,acinar,inDrop,8.82426,-2.2760012
human3_lib1.final_cell_0268,acinar,inDrop,9.30813,-2.3168125
human3_lib4.final_cell_0746,acinar,inDrop,10.774159,-1.7564719
human3_lib1.final_cell_0006,acinar,inDrop,8.13831,-2.619047
human3_lib3.final_cell_0227,acinar,inDrop,8.468872,-1.6177917
human3_lib3.final_cell_0059,acinar,inDrop,8.303356,-2.3914077
human3_lib2.final_cell_0135,acinar,inDrop,8.345206,-2.2794425
human3_lib2.final_cell_0027,acinar,inDrop,8.531474,-3.0220952
human3_lib2.final_cell_0019,acinar,inDrop,9.544198,-1.951598
human3_lib4.final_cell_0783,acinar,inDrop,10.002211,-1.7460399
human3_lib2.final_cell_0586,acinar,inDrop,10.028118,-1.4022386
human1_lib2.final_cell_0616,acinar,inDrop,9.093076,-0.7111291
human3_lib2.final_cell_0082,acinar,inDrop,9.006384,-1.6851937
human3_lib1.final_cell_0022,acinar,inDrop,10.04838,-2.5352273
human1_lib3.final_cell_0020,acinar,inDrop,8.560666,-0.5861992
human3_lib3.final_cell_0243,acinar,inDrop,9.504832,-2.0938048
human3_lib4.final_cell_0195,acinar,inDrop,9.63979,-2.3428433
human3_lib3.final_cell_0019,acinar,inDrop,10.716405,-2.1776526
human3_lib4.final_cell_0131,acinar,inDrop,8.477154,-2.0962517
human3_lib3.final_cell_0157,acinar,inDrop,9.822411,-1.7879165
human3_lib3.final_cell_0241,acinar,inDrop,9.193401,-2.2679513
human1_lib1.final_cell_0029,acinar,inDrop,9.13079,-0.7009049
human3_lib3.final_cell_0031,acinar,inDrop,9.99831,-2.2588837
human3_lib3.final_cell_0651,acinar,inDrop,1.266555,5.0602856
human1_lib3.final_cell_0600,acinar,inDrop,8.106548,-1.1893629
human3_lib1.final_cell_0439,acinar,inDrop,10.139428,-1.1361142
human3_lib3.final_cell_0068,acinar,inDrop,8.7677145,-1.8755938
human1_lib2.final_cell_0404,acinar,inDrop,8.926039,-0.68149024
human3_lib4.final_cell_0039,acinar,inDrop,8.503635,-2.829508
human3_lib2.final_cell_0800,acinar,inDrop,9.71503,-1.7714672
human3_lib2.final_cell_0174,acinar,inDrop,9.249739,-2.5561488
human3_lib4.final_cell_0076,acinar,inDrop,10.767309,-2.1827474
human1_lib2.final_cell_0111,acinar,inDrop,8.159191,-1.3946782
human3_lib4.final_cell_0080,acinar,inDrop,9.263775,-2.2430456
human3_lib1.final_cell_0050,acinar,inDrop,9.463808,-2.1151652
human3_lib1.final_cell_0389,acinar,inDrop,10.383957,-1.4347613
human3_lib4.final_cell_0636,acinar,inDrop,-1.0253998,3.3389368
human3_lib1.final_cell_0131,acinar,inDrop,8.233739,-2.7424955
human3_lib3.final_cell_0094,acinar,inDrop,10.117672,-2.4553967
human3_lib3.final_cell_0126,acinar,inDrop,9.390674,-1.64782
human3_lib2.final_cell_0466,acinar,inDrop,8.529191,-2.760495
human3_lib1.final_cell_0360,acinar,inDrop,8.948719,-2.4801257
human3_lib4.final_cell_0005,acinar,inDrop,9.972625,-1.8775337
human3_lib3.final_cell_0060,acinar,inDrop,8.419728,-2.8975158
human3_lib3.final_cell_0162,acinar,inDrop,10.712272,-2.1087089
human3_lib4.final_cell_0355,acinar,inDrop,10.328484,-1.5962745
human3_lib2.final_cell_0226,acinar,inDrop,9.045547,-2.696207
human3_lib3.final_cell_0268,acinar,inDrop,9.667507,-1.8287605
human3_lib2.final_cell_0421,acinar,inDrop,10.729486,-1.7846774
human3_lib4.final_cell_0111,acinar,inDrop,8.948948,-1.4956723
human3_lib3.final_cell_0072,acinar,inDrop,8.823426,-2.0082886
human3_lib2.final_cell_0093,acinar,inDrop,9.448599,-1.8039204
human3_lib4.final_cell_0371,acinar,inDrop,8.903005,-2.3348238
human3_lib3.final_cell_0047,acinar,inDrop,8.976112,-2.8919704
human3_lib3.final_cell_0272,acinar,inDrop,9.042273,-2.2567298
human3_lib4.final_cell_0008,acinar,inDrop,8.6550455,-2.828432
human3_lib4.final_cell_0549,acinar,inDrop,8.130179,-2.0043786
human3_lib4.final_cell_0020,acinar,inDrop,9.75953,-2.8843083
human3_lib2.final_cell_0078,acinar,inDrop,8.551696,-1.7872
human3_lib4.final_cell_0207,acinar,inDrop,10.5630665,-1.7760286
human3_lib1.final_cell_0063,acinar,inDrop,9.602093,-2.990185
human3_lib2.final_cell_0090,acinar,inDrop,8.679852,-2.3388891
human3_lib1.final_cell_0014,acinar,inDrop,8.074711,-2.3880324
human3_lib4.final_cell_0065,acinar,inDrop,9.463206,-2.0805802
human3_lib3.final_cell_0004,acinar,inDrop,9.710239,-2.4770696
human3_lib3.final_cell_0089,acinar,inDrop,9.551457,-2.3713644
human2_lib2.final_cell_0154,acinar,inDrop,6.209107,1.8515403
human3_lib2.final_cell_0076,acinar,inDrop,8.58557,-2.817575
human3_lib1.final_cell_0195,acinar,inDrop,8.738313,-1.289421
human3_lib3.final_cell_0646,acinar,inDrop,9.983295,-1.5614424
human3_lib2.final_cell_0608,acinar,inDrop,8.408166,-2.2059987
human1_lib1.final_cell_0012,acinar,inDrop,8.98796,-0.98251647
human3_lib4.final_cell_0043,acinar,inDrop,10.264602,-2.6130784
human3_lib2.final_cell_0213,acinar,inDrop,8.776485,-1.7166451
human3_lib2.final_cell_0033,acinar,inDrop,8.860345,-2.0653725
human3_lib2.final_cell_0052,acinar,inDrop,8.345667,-2.9342422
human3_lib4.final_cell_0407,acinar,inDrop,8.582585,-2.4593146
human3_lib3.final_cell_0207,acinar,inDrop,8.5913515,-1.3271995
human3_lib1.final_cell_0011,acinar,inDrop,8.977017,-2.2030797
human3_lib3.final_cell_0355,acinar,inDrop,8.923148,-2.5674853
human3_lib1.final_cell_0057,acinar,inDrop,8.758398,-2.08748
human3_lib4.final_cell_0056,acinar,inDrop,10.49552,-2.3951285
human3_lib1.final_cell_0560,acinar,inDrop,9.653276,-1.5375454
human3_lib1.final_cell_0440,acinar,inDrop,9.966787,-1.4461558
human3_lib3.final_cell_0406,acinar,inDrop,9.3532,-2.2452776
human3_lib2.final_cell_0469,acinar,inDrop,10.674008,-1.5999597
human3_lib2.final_cell_0119,acinar,inDrop,9.9631195,-2.8968346
human3_lib2.final_cell_0486,acinar,inDrop,10.13226,-1.7188703
human3_lib1.final_cell_0196,acinar,inDrop,10.661319,-2.81244
human3_lib1.final_cell_0119,acinar,inDrop,8.637456,-2.2899075
human3_lib4.final_cell_0418,acinar,inDrop,10.556779,-1.59989
human1_lib1.final_cell_0001,acinar,inDrop,8.619245,-0.841684
human3_lib1.final_cell_0326,acinar,inDrop,9.376587,-2.577894
human3_lib3.final_cell_0144,acinar,inDrop,8.902028,-2.111982
human3_lib3.final_cell_0176,acinar,inDrop,8.533972,-2.8448207
human3_lib4.final_cell_0044,acinar,inDrop,8.104904,-2.3105392
human3_lib2.final_cell_0260,acinar,inDrop,9.958053,-1.3021991
human3_lib2.final_cell_0097,acinar,inDrop,10.60528,-2.7576811
human3_lib4.final_cell_0049,acinar,inDrop,9.243917,-2.9179127
human3_lib4.final_cell_0146,acinar,inDrop,8.674708,-2.2973158
