,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,1.2955881,-10.425039
D28.7_64,acinar,celseq2,12.730241,3.6588979
D31.2_86,acinar,celseq2,10.842101,3.7796302
human3_lib2.final_cell_0055,acinar,inDrop,0.47297573,-10.141976
human3_lib4.final_cell_0748,acinar,inDrop,0.4365223,-7.99202
human3_lib1.final_cell_0004,acinar,inDrop,2.4228995,-10.630698
human3_lib2.final_cell_0497,acinar,inDrop,1.7704837,-8.374662
human1_lib1.final_cell_0028,acinar,inDrop,2.4303,-8.013513
D31.7_21,acinar,celseq2,8.22397,5.0717363
human3_lib4.final_cell_0518,acinar,inDrop,-6.320523,1.9502707
human3_lib1.final_cell_0005,acinar,inDrop,2.6249635,-10.484493
D28.5_31,acinar,celseq2,11.231838,3.7733917
human3_lib1.final_cell_0109,acinar,inDrop,0.5616243,-9.934944
human3_lib3.final_cell_0385,acinar,inDrop,1.2097151,-9.795023
human3_lib3.final_cell_0028,acinar,inDrop,1.2465394,-10.534407
HP1502401_F13,acinar,smartseq2,10.252188,4.5593963
human3_lib1.final_cell_0371,acinar,inDrop,0.9359091,-9.532968
HP1506401_D24,acinar,smartseq2,12.37618,4.006747
human3_lib4.final_cell_0148,acinar,inDrop,1.3515797,-9.831601
HP1502401_M22,acinar,smartseq2,12.495098,4.713762
human3_lib4.final_cell_0072,acinar,inDrop,1.4084765,-10.051103
human3_lib1.final_cell_0146,acinar,inDrop,1.0173427,-8.707843
human3_lib1.final_cell_0642,acinar,inDrop,0.24894358,-8.253775
human3_lib4.final_cell_0537,acinar,inDrop,0.040732145,-8.8986435
human3_lib1.final_cell_0026,acinar,inDrop,1.2355218,-10.588174
human1_lib1.final_cell_0047,acinar,inDrop,1.7904627,-9.062341
human3_lib2.final_cell_0012,acinar,inDrop,2.3245928,-9.412481
human3_lib4.final_cell_0034,acinar,inDrop,0.81734395,-10.354251
D28.6_19,acinar,celseq2,9.93684,4.4706745
human3_lib1.final_cell_0027,acinar,inDrop,1.7665148,-10.175983
human3_lib3.final_cell_0235,acinar,inDrop,0.88941693,-10.373268
human3_lib4.final_cell_0358,acinar,inDrop,0.49244696,-8.302231
human3_lib4.final_cell_0292,acinar,inDrop,0.70972025,-9.304169
human3_lib1.final_cell_0044,acinar,inDrop,2.5713696,-9.610657
D30.5_79,acinar,celseq2,9.79456,4.6999555
D28.8_39,acinar,celseq2,12.374871,4.0294065
human1_lib3.final_cell_0031,acinar,inDrop,2.3297212,-8.5008545
human3_lib1.final_cell_0117,acinar,inDrop,1.6678735,-8.890593
human3_lib2.final_cell_0083,acinar,inDrop,2.140381,-9.541604
D30.6_37,acinar,celseq2,9.779923,4.746517
HP1506401_B16,acinar,smartseq2,10.957525,3.8672266
human3_lib1.final_cell_0112,acinar,inDrop,0.91022986,-10.137706
human3_lib3.final_cell_0022,acinar,inDrop,0.11875336,-9.640557
human3_lib1.final_cell_0391,acinar,inDrop,1.8842862,-8.738215
human3_lib1.final_cell_0215,acinar,inDrop,0.35313657,-9.188611
human1_lib1.final_cell_0461,acinar,inDrop,1.2742727,-6.609823
human3_lib2.final_cell_0685,acinar,inDrop,1.1614112,-8.173484
human3_lib4.final_cell_0272,acinar,inDrop,2.3056204,-9.343409
HP1506401_D3,acinar,smartseq2,11.586591,3.5847666
human3_lib3.final_cell_0163,acinar,inDrop,1.8818063,-9.811884
human1_lib1.final_cell_0182,acinar,inDrop,1.4748853,-8.101085
HP1504101T2D_J16,acinar,smartseq2,12.031464,4.795812
human3_lib2.final_cell_0105,acinar,inDrop,2.6752892,-8.774914
human3_lib4.final_cell_0466,acinar,inDrop,0.24975789,-9.2732315
D30.4_18,acinar,celseq2,11.845022,4.7871027
human3_lib3.final_cell_0044,acinar,inDrop,2.5938394,-10.064557
D28.5_63,acinar,celseq2,12.265372,4.5335755
HP1504901_F23,acinar,smartseq2,9.965504,4.226249
human3_lib1.final_cell_0069,acinar,inDrop,1.7915342,-9.957382
D31.3_89,acinar,celseq2,12.303313,4.386643
human3_lib4.final_cell_0103,acinar,inDrop,0.39515316,-9.956027
human3_lib2.final_cell_0036,acinar,inDrop,2.2205107,-8.921214
HP1506401_J15,acinar,smartseq2,12.526774,3.8970597
human3_lib1.final_cell_0505,acinar,inDrop,0.3964444,-8.203603
HP1506401_O16,acinar,smartseq2,11.352252,3.619142
human3_lib2.final_cell_0267,acinar,inDrop,1.521052,-10.24291
human3_lib3.final_cell_0703,acinar,inDrop,-0.1973514,-8.713882
human3_lib2.final_cell_0109,acinar,inDrop,1.7296864,-9.843496
D30.2_53,acinar,celseq2,12.165234,4.827473
human3_lib4.final_cell_0171,acinar,inDrop,0.594866,-9.208229
HP1506401_N23,acinar,smartseq2,11.806117,3.8376973
D28.3_51,acinar,celseq2,12.702614,4.0299196
human3_lib2.final_cell_0134,acinar,inDrop,0.4924286,-10.054582
human1_lib2.final_cell_0582,acinar,inDrop,0.22255152,-7.834619
D28.5_37,acinar,celseq2,10.313048,4.4051833
human3_lib1.final_cell_0212,acinar,inDrop,-0.0064415503,-8.8698635
D28.3_90,acinar,celseq2,10.50811,4.2610874
human3_lib2.final_cell_0675,acinar,inDrop,1.062161,-8.400888
D31.1_21,acinar,celseq2,9.276464,4.2980294
human3_lib3.final_cell_0205,acinar,inDrop,1.9803617,-9.023051
human3_lib4.final_cell_0184,acinar,inDrop,1.2677375,-8.786421
human3_lib3.final_cell_0079,acinar,inDrop,2.5934198,-9.217348
human3_lib2.final_cell_0060,acinar,inDrop,1.2687671,-9.34567
human3_lib1.final_cell_0204,acinar,inDrop,1.8251245,-9.470835
HP1506401_N9,acinar,smartseq2,11.200155,3.6268837
HP1526901T2D_H2,acinar,smartseq2,12.43118,4.6213827
human3_lib4.final_cell_0070,acinar,inDrop,2.0579846,-8.567891
human3_lib3.final_cell_0415,acinar,inDrop,1.34547,-7.96866
HP1525301T2D_F10,acinar,smartseq2,12.449886,4.6395016
D31.5_69,acinar,celseq2,8.405493,3.8432868
human3_lib3.final_cell_0208,acinar,inDrop,1.4043713,-9.100995
human3_lib1.final_cell_0038,acinar,inDrop,2.031083,-10.632308
human3_lib4.final_cell_0533,acinar,inDrop,0.16301335,-8.37744
human1_lib3.final_cell_0231,acinar,inDrop,1.350253,-8.548889
HP1504101T2D_C11,acinar,smartseq2,12.760843,4.1051583
human3_lib3.final_cell_0066,acinar,inDrop,1.4778013,-9.926844
human3_lib4.final_cell_0108,acinar,inDrop,1.7476685,-8.845665
D30.7_1,acinar,celseq2,11.99789,4.311904
human3_lib3.final_cell_0301,acinar,inDrop,2.1019025,-9.105956
human3_lib4.final_cell_0149,acinar,inDrop,-0.22060294,-9.118226
HP1508501T2D_B14,acinar,smartseq2,12.411184,3.857472
human3_lib4.final_cell_0003,acinar,inDrop,1.0801969,-10.293637
human3_lib3.final_cell_0266,acinar,inDrop,1.8710797,-8.715949
human3_lib1.final_cell_0373,acinar,inDrop,-0.07095357,-8.561959
D30.7_24,acinar,celseq2,9.790007,4.494814
human3_lib1.final_cell_0172,acinar,inDrop,2.7111607,-8.8931875
human3_lib2.final_cell_0003,acinar,inDrop,1.841969,-9.7693815
AZ_F6,acinar,smartseq2,11.847135,3.8396244
HP1508501T2D_I10,acinar,smartseq2,12.728091,3.7590458
human3_lib3.final_cell_0166,acinar,inDrop,0.4932797,-9.25778
human3_lib2.final_cell_0101,acinar,inDrop,2.1668205,-8.7748165
HP1508501T2D_G17,acinar,smartseq2,12.37536,3.918671
HP1525301T2D_L5,acinar,smartseq2,12.0771,4.7114935
human3_lib2.final_cell_0277,acinar,inDrop,2.4055197,-9.296411
D28.6_63,acinar,celseq2,12.151052,4.523229
human3_lib3.final_cell_0045,acinar,inDrop,0.7726186,-10.228944
HP1502401_G18,acinar,smartseq2,11.782176,4.6645293
human3_lib1.final_cell_0483,acinar,inDrop,1.0002283,-8.880609
human3_lib4.final_cell_0575,acinar,inDrop,-0.2670953,-8.697334
human3_lib4.final_cell_0519,acinar,inDrop,0.3997063,-8.151002
human3_lib4.final_cell_0512,acinar,inDrop,0.8600639,-8.46041
human3_lib4.final_cell_0615,acinar,inDrop,-4.7923226,0.87240654
human3_lib4.final_cell_0555,acinar,inDrop,0.7363425,-8.321894
human3_lib3.final_cell_0803,acinar,inDrop,0.4716695,-8.257673
human3_lib1.final_cell_0013,acinar,inDrop,1.9641103,-10.326129
D31.2_75,acinar,celseq2,11.678195,3.9414458
HP1506401_B14,acinar,smartseq2,11.213579,3.6630208
human3_lib2.final_cell_0006,acinar,inDrop,1.5858092,-10.602937
human3_lib1.final_cell_0300,acinar,inDrop,-0.0018747689,-8.7684
D30.3_91,acinar,celseq2,10.871828,4.5970664
human3_lib4.final_cell_0155,acinar,inDrop,1.2142725,-10.062292
