index,celltype,tech,UMAP1,UMAP2
human3_lib3.final_cell_0013,acinar,inDrop,-1.430969,-1.8515557
D28.7_64,acinar,celseq2,0.28650713,0.08951821
D31.2_86,acinar,celseq2,2.3920753,1.1400661
human3_lib2.final_cell_0055,acinar,inDrop,-0.9531072,-2.4133492
human3_lib4.final_cell_0748,acinar,inDrop,5.6161356,0.17710294
human3_lib1.final_cell_0004,acinar,inDrop,-2.3695683,-0.52412987
human3_lib2.final_cell_0497,acinar,inDrop,-0.67902076,-1.6246498
human1_lib1.final_cell_0028,acinar,inDrop,-1.6529342,-0.28715745
D31.7_21,acinar,celseq2,6.1054277,1.0554032
human3_lib4.final_cell_0518,acinar,inDrop,-1.1536503,-2.4327602
human3_lib1.final_cell_0005,acinar,inDrop,-1.8567488,-0.2666778
D28.5_31,acinar,celseq2,1.5515605,0.98609525
human3_lib1.final_cell_0109,acinar,inDrop,-0.5680708,-2.5866842
human3_lib3.final_cell_0385,acinar,inDrop,-2.6467903,-0.7535094
human3_lib3.final_cell_0028,acinar,inDrop,-1.9208009,-0.16343474
HP1502401_F13,acinar,smartseq2,3.7620766,0.2540617
human3_lib1.final_cell_0371,acinar,inDrop,5.161333,-1.3201811
HP1506401_D24,acinar,smartseq2,0.3594169,-0.49305877
human3_lib4.final_cell_0148,acinar,inDrop,-2.2373042,-0.82399446
HP1502401_M22,acinar,smartseq2,1.3350573,-0.24094288
human3_lib4.final_cell_0072,acinar,inDrop,-1.5669396,-1.9979856
human3_lib1.final_cell_0146,acinar,inDrop,-0.6094044,-2.5962598
human3_lib1.final_cell_0642,acinar,inDrop,5.7506156,-0.8181548
human3_lib4.final_cell_0537,acinar,inDrop,5.8759246,-0.35999548
human3_lib1.final_cell_0026,acinar,inDrop,-1.5425402,-1.8138498
human1_lib1.final_cell_0047,acinar,inDrop,-1.7180289,-0.87166667
human3_lib2.final_cell_0012,acinar,inDrop,-1.9813269,-0.68046874
human3_lib4.final_cell_0034,acinar,inDrop,-1.6225429,-0.82606274
D28.6_19,acinar,celseq2,3.9065661,1.1330229
human3_lib1.final_cell_0027,acinar,inDrop,-1.4845102,-1.1168631
human3_lib3.final_cell_0235,acinar,inDrop,-1.4409324,-2.0979867
human3_lib4.final_cell_0358,acinar,inDrop,6.006027,0.38633165
human3_lib4.final_cell_0292,acinar,inDrop,-1.1240852,-1.9506352
human3_lib1.final_cell_0044,acinar,inDrop,-1.4705819,-0.6941028
D30.5_79,acinar,celseq2,3.6568937,0.5542988
D28.8_39,acinar,celseq2,1.2503182,-0.4802346
human1_lib3.final_cell_0031,acinar,inDrop,-1.3663487,-0.62891215
human3_lib1.final_cell_0117,acinar,inDrop,-1.1158158,-1.5448791
human3_lib2.final_cell_0083,acinar,inDrop,-1.9513284,-0.8631239
D30.6_37,acinar,celseq2,3.930068,0.27268076
HP1506401_B16,acinar,smartseq2,1.910501,0.6929258
human3_lib1.final_cell_0112,acinar,inDrop,-1.8148937,-1.6181841
human3_lib3.final_cell_0022,acinar,inDrop,5.3488107,-0.4948697
human3_lib1.final_cell_0391,acinar,inDrop,-1.0514414,-1.8256953
human3_lib1.final_cell_0215,acinar,inDrop,5.2839384,-0.83981913
human1_lib1.final_cell_0461,acinar,inDrop,4.764357,3.1728115
human3_lib2.final_cell_0685,acinar,inDrop,5.745125,-0.11773808
human3_lib4.final_cell_0272,acinar,inDrop,-1.0256393,-1.7557803
HP1506401_D3,acinar,smartseq2,0.67753625,0.5557482
human3_lib3.final_cell_0163,acinar,inDrop,-1.7695347,-0.7938473
human1_lib1.final_cell_0182,acinar,inDrop,-2.115411,-0.92644995
HP1504101T2D_J16,acinar,smartseq2,1.7617757,-0.173768
human3_lib2.final_cell_0105,acinar,inDrop,-2.162518,-0.06545654
human3_lib4.final_cell_0466,acinar,inDrop,6.194371,-0.19882473
D30.4_18,acinar,celseq2,2.06044,-0.10358234
human3_lib3.final_cell_0044,acinar,inDrop,-1.2758062,-0.68947935
D28.5_63,acinar,celseq2,2.1839368,-0.5898808
HP1504901_F23,acinar,smartseq2,4.1369925,0.95203125
human3_lib1.final_cell_0069,acinar,inDrop,-2.0439284,-0.61499125
D31.3_89,acinar,celseq2,1.3125688,-0.27139536
human3_lib4.final_cell_0103,acinar,inDrop,-1.3477261,-2.1136153
human3_lib2.final_cell_0036,acinar,inDrop,-1.6745032,-0.78552675
HP1506401_J15,acinar,smartseq2,0.08666807,-0.6546751
human3_lib1.final_cell_0505,acinar,inDrop,5.544046,-0.13508469
HP1506401_O16,acinar,smartseq2,1.3287975,0.15991344
human3_lib2.final_cell_0267,acinar,inDrop,-1.8192137,-1.629321
human3_lib3.final_cell_0703,acinar,inDrop,6.273031,-0.06179461
human3_lib2.final_cell_0109,acinar,inDrop,-1.4086952,-1.2750884
D30.2_53,acinar,celseq2,1.9360765,-0.26038498
human3_lib4.final_cell_0171,acinar,inDrop,5.2355695,-0.983569
HP1506401_N23,acinar,smartseq2,0.9599041,-0.32481748
D28.3_51,acinar,celseq2,0.6722541,-0.31100652
human3_lib2.final_cell_0134,acinar,inDrop,-0.5575085,-2.6727202
human1_lib2.final_cell_0582,acinar,inDrop,5.1767635,0.05626695
D28.5_37,acinar,celseq2,3.3634398,0.23145238
human3_lib1.final_cell_0212,acinar,inDrop,5.934849,0.11212702
D28.3_90,acinar,celseq2,2.9500208,0.4922304
human3_lib2.final_cell_0675,acinar,inDrop,4.815365,-0.3555273
D31.1_21,acinar,celseq2,4.1799936,0.78285897
human3_lib3.final_cell_0205,acinar,inDrop,-2.0215147,-1.1704776
